dailyViewcount,numShare,numSubscriber,watchTime,date
28646,547,70,85678.7,2016-04-11
35838,454,61,99420.7833333,2016-04-12
52898,505,154,128964.766667,2016-04-13
57500,508,141,138627.916667,2016-04-14
67356,496,159,159972.183333,2016-04-15
60845,382,92,143659.116667,2016-04-16
75180,426,107,171556.316667,2016-04-17
39717,190,45,99487.7833333,2016-04-18
27764,141,18,74307.6333333,2016-04-19
28149,139,20,74737.75,2016-04-20
40224,175,60,103444.316667,2016-04-21
51570,203,74,129618.1,2016-04-22
70244,263,96,169925.766667,2016-04-23
59474,264,75,140288.316667,2016-04-24
37875,149,25,95226.1166667,2016-04-25
40245,207,22,102802.4,2016-04-26
36285,191,28,92654.1166667,2016-04-27
42985,223,32,109220.6,2016-04-28
46045,272,28,117277.266667,2016-04-29
43981,226,21,115052.65,2016-04-30
37343,210,23,96757.1666667,2016-05-01
36068,189,25,94905.95,2016-05-02
42171,235,24,109884.783333,2016-05-03
43765,256,17,113703.6,2016-05-04
45055,217,16,117356.616667,2016-05-05
47494,194,25,125703.65,2016-05-06
49552,186,13,130322.633333,2016-05-07
38961,197,12,102879.333333,2016-05-08
33890,164,15,88386.7666667,2016-05-09
32816,142,15,84276.1333333,2016-05-10
33055,174,13,85382.3333333,2016-05-11
35363,165,15,93206.8166667,2016-05-12
38532,183,23,100540.183333,2016-05-13
38888,189,21,101266.383333,2016-05-14
29564,152,9,75191.45,2016-05-15
33246,157,29,84541.15,2016-05-16
29370,157,13,75471.5333333,2016-05-17
24312,140,6,63380.8333333,2016-05-18
25931,147,12,67385.0666667,2016-05-19
29776,182,13,77007.3166667,2016-05-20
30144,134,7,76787.0666667,2016-05-21
28212,174,10,71062.7,2016-05-22
24351,152,9,61832.9333333,2016-05-23
26813,156,13,68958.8333333,2016-05-24
28148,143,7,73131.7166667,2016-05-25
30414,172,8,79550.2,2016-05-26
32009,171,13,85152.2,2016-05-27
32886,127,10,87421.0833333,2016-05-28
30613,155,8,80213.3833333,2016-05-29
27961,150,11,72658.5833333,2016-05-30
28638,155,13,74534.5,2016-05-31
29303,163,17,76230.5666667,2016-06-01
29889,145,11,77439.25,2016-06-02
33104,157,10,87405.75,2016-06-03
31061,140,10,81261.6666667,2016-06-04
24206,147,10,61366.9666667,2016-06-05
22005,132,6,57127.4833333,2016-06-06
27913,162,13,73249.5833333,2016-06-07
25642,136,8,66707.8666667,2016-06-08
26272,186,9,69279.9166667,2016-06-09
29198,171,5,78254.55,2016-06-10
30985,152,6,81528.3666667,2016-06-11
25407,177,8,63929.1,2016-06-12
22075,139,8,57081.6,2016-06-13
24763,137,7,64512.9333333,2016-06-14
24376,145,8,63632.25,2016-06-15
24929,136,9,63894.2166667,2016-06-16
29453,148,9,77242.5666667,2016-06-17
34105,198,9,89212.2833333,2016-06-18
28635,148,10,71859.25,2016-06-19
24541,133,8,61864.1333333,2016-06-20
23950,140,9,61767.1166667,2016-06-21
23650,136,9,61052.0,2016-06-22
26374,147,8,69112.7833333,2016-06-23
30058,127,11,80868.2,2016-06-24
30114,148,12,80482.9166667,2016-06-25
24280,128,17,62252.7166667,2016-06-26
24028,137,9,61810.45,2016-06-27
26131,136,13,67739.35,2016-06-28
26726,159,6,69089.8666667,2016-06-29
25654,122,7,66079.7166667,2016-06-30
27166,124,8,70676.6,2016-07-01
27629,118,6,72070.8666667,2016-07-02
23640,157,3,60197.4333333,2016-07-03
24203,158,6,63024.9166667,2016-07-04
27172,145,8,71061.65,2016-07-05
28681,142,7,75859.5166667,2016-07-06
25967,118,3,68712.0166667,2016-07-07
27167,118,6,71761.6333333,2016-07-08
29199,143,9,77540.1333333,2016-07-09
23489,140,7,60779.9,2016-07-10
22797,129,5,58576.95,2016-07-11
22226,122,4,57163.6833333,2016-07-12
24326,107,5,62713.9833333,2016-07-13
28945,158,8,76963.9666667,2016-07-14
29607,165,9,78306.3666667,2016-07-15
26846,105,6,71509.7,2016-07-16
23834,128,4,61218.6166667,2016-07-17
23273,128,7,60360.65,2016-07-18
24590,118,4,63507.1,2016-07-19
25017,155,7,64777.0333333,2016-07-20
24426,137,2,63743.0333333,2016-07-21
27067,145,3,71495.45,2016-07-22
26715,113,6,70238.3,2016-07-23
23069,125,3,60237.25,2016-07-24
22180,119,4,57642.25,2016-07-25
23787,115,8,63440.0,2016-07-26
23995,136,9,64510.05,2016-07-27
23931,121,6,64587.7166667,2016-07-28
25365,113,9,70425.0666667,2016-07-29
25379,98,9,70209.25,2016-07-30
21998,122,6,58701.2166667,2016-07-31
21259,115,4,56540.7833333,2016-08-01
22007,102,9,58019.5833333,2016-08-02
22273,115,4,59682.15,2016-08-03
22575,133,3,60422.3333333,2016-08-04
25390,110,3,67481.5833333,2016-08-05
26062,123,6,70225.3166667,2016-08-06
22100,145,4,57101.0666667,2016-08-07
20944,110,7,54568.4,2016-08-08
20608,110,3,53654.35,2016-08-09
20903,96,4,54085.5666667,2016-08-10
21743,92,4,57731.7166667,2016-08-11
22334,128,5,59384.6,2016-08-12
21492,102,9,57101.1333333,2016-08-13
17508,114,3,45374.4666667,2016-08-14
18832,111,8,48286.4333333,2016-08-15
19630,110,8,50908.3166667,2016-08-16
18584,94,7,48241.4833333,2016-08-17
19595,124,4,49832.4833333,2016-08-18
21937,103,5,56300.2833333,2016-08-19
21272,101,5,56112.9166667,2016-08-20
17047,85,5,42972.8833333,2016-08-21
17460,95,9,44772.6833333,2016-08-22
17926,102,4,46226.4833333,2016-08-23
18790,96,3,48188.8333333,2016-08-24
18189,111,6,46462.2333333,2016-08-25
20259,105,7,53166.1666667,2016-08-26
19255,90,8,49911.7,2016-08-27
17257,103,3,44346.15,2016-08-28
16585,98,5,42941.65,2016-08-29
17679,105,5,45472.6166667,2016-08-30
17168,88,5,44016.0833333,2016-08-31
18158,108,8,46168.6,2016-09-01
20919,103,6,53558.8833333,2016-09-02
23916,122,10,60720.75,2016-09-03
21133,118,5,52508.5,2016-09-04
18221,80,8,45658.45,2016-09-05
16308,99,3,41510.8333333,2016-09-06
15939,82,4,40954.2166667,2016-09-07
14870,91,7,37362.7666667,2016-09-08
16874,76,7,43113.7833333,2016-09-09
20207,96,4,51403.95,2016-09-10
16394,104,3,40309.3166667,2016-09-11
14308,78,3,36169.35,2016-09-12
15267,90,1,38521.7666667,2016-09-13
15861,76,3,40197.9333333,2016-09-14
15445,81,4,39189.3166667,2016-09-15
18850,100,4,48842.45,2016-09-16
20790,93,6,53533.7833333,2016-09-17
17149,70,3,43060.1333333,2016-09-18
14931,74,3,37564.0666667,2016-09-19
13989,73,5,35959.2166667,2016-09-20
14296,82,5,37181.9666667,2016-09-21
14800,77,3,38699.6,2016-09-22
17919,87,2,46976.5833333,2016-09-23
18889,68,2,48957.5,2016-09-24
14643,75,4,36670.2333333,2016-09-25
13437,70,1,33782.6833333,2016-09-26
13836,63,6,35096.0833333,2016-09-27
14273,92,3,36491.6833333,2016-09-28
13610,61,2,34579.7833333,2016-09-29
15101,79,7,39469.1666667,2016-09-30
16176,90,4,41293.25,2016-10-01
13606,74,3,33731.7166667,2016-10-02
12756,72,5,32905.5333333,2016-10-03
13564,71,3,33503.4666667,2016-10-04
13658,51,4,34436.1666667,2016-10-05
12914,48,3,32509.9666667,2016-10-06
17676,105,3,44962.4666667,2016-10-07
16725,74,5,42405.35,2016-10-08
13872,77,1,33603.1833333,2016-10-09
12262,61,4,29851.2833333,2016-10-10
11461,68,4,26945.0,2016-10-11
12146,75,2,29547.6333333,2016-10-12
12922,50,4,31530.7833333,2016-10-13
15966,98,5,39721.4166667,2016-10-14
17554,92,5,43941.2333333,2016-10-15
15034,79,1,36304.1666667,2016-10-16
13553,77,3,32539.7333333,2016-10-17
13081,80,6,32220.15,2016-10-18
13849,71,6,33370.9833333,2016-10-19
14610,73,8,34570.4833333,2016-10-20
16328,69,4,40160.2166667,2016-10-21
18346,77,2,43994.6,2016-10-22
14249,70,5,33591.8333333,2016-10-23
