dailyViewcount,numShare,numSubscriber,watchTime,date
8200,106,5,13881.4166667,2015-12-21
7808,79,5,13536.2,2015-12-22
5245,44,1,10094.8166667,2015-12-23
3791,30,4,7394.38333333,2015-12-24
5839,50,7,11622.5333333,2015-12-25
5393,36,1,10327.6,2015-12-26
3887,22,4,7691.13333333,2015-12-27
2678,19,1,5972.5,2015-12-28
2263,8,0,4774.01666667,2015-12-29
2399,18,0,5124.95,2015-12-30
2394,6,0,5550.43333333,2015-12-31
2063,10,0,4381.25,2016-01-01
2081,2,0,4283.46666667,2016-01-02
1833,13,0,3735.5,2016-01-03
1655,8,1,3464.7,2016-01-04
1509,11,0,3114.43333333,2016-01-05
1923,13,2,3836.25,2016-01-06
1739,15,2,3473.8,2016-01-07
1875,8,0,3841.13333333,2016-01-08
2062,8,0,4125.03333333,2016-01-09
1584,13,1,3169.43333333,2016-01-10
1395,6,0,2912.63333333,2016-01-11
1451,8,1,2889.16666667,2016-01-12
1520,13,1,2990.66666667,2016-01-13
1536,7,0,3212.53333333,2016-01-14
1780,15,0,3718.11666667,2016-01-15
1793,7,0,3601.0,2016-01-16
1541,12,0,3009.91666667,2016-01-17
1494,8,0,2890.28333333,2016-01-18
1254,4,2,2322.81666667,2016-01-19
1219,3,2,2393.25,2016-01-20
1261,7,0,2457.01666667,2016-01-21
1473,10,2,2884.6,2016-01-22
1586,9,1,3078.63333333,2016-01-23
1299,2,1,2438.35,2016-01-24
1169,8,0,2303.8,2016-01-25
1272,8,1,2596.8,2016-01-26
1376,10,1,2747.78333333,2016-01-27
1395,8,1,2910.4,2016-01-28
1450,7,2,2918.1,2016-01-29
1668,12,0,3180.06666667,2016-01-30
1361,10,0,2655.95,2016-01-31
1245,5,0,2573.48333333,2016-02-01
1266,11,1,2516.95,2016-02-02
1279,14,0,2576.41666667,2016-02-03
1382,5,2,2846.75,2016-02-04
1531,15,0,2891.9,2016-02-05
1771,12,0,3348.43333333,2016-02-06
3595,18,0,4510.81666667,2016-02-07
3743,6,1,4629.13333333,2016-02-08
1584,13,1,2869.86666667,2016-02-09
1470,13,0,2749.63333333,2016-02-10
1561,17,2,2975.71666667,2016-02-11
1738,11,1,3214.91666667,2016-02-12
1770,9,1,3333.73333333,2016-02-13
1479,12,0,2863.75,2016-02-14
1387,5,1,2799.56666667,2016-02-15
1112,7,0,2059.36666667,2016-02-16
1138,8,1,2054.61666667,2016-02-17
1117,4,2,2102.43333333,2016-02-18
1553,2,1,2844.18333333,2016-02-19
1639,12,3,3016.56666667,2016-02-20
1530,3,0,2733.31666667,2016-02-21
1191,10,0,2110.1,2016-02-22
1196,7,0,2139.53333333,2016-02-23
1157,8,0,2094.85,2016-02-24
1134,17,0,1867.56666667,2016-02-25
1246,10,3,2290.81666667,2016-02-26
1336,10,1,2437.06666667,2016-02-27
1128,9,0,2025.7,2016-02-28
1018,8,2,1890.28333333,2016-02-29
950,7,0,1618.45,2016-03-01
970,14,1,1840.08333333,2016-03-02
1136,11,0,2106.91666667,2016-03-03
1431,6,0,2495.0,2016-03-04
1324,2,0,2413.88333333,2016-03-05
1176,4,0,2176.7,2016-03-06
948,9,2,1803.93333333,2016-03-07
982,8,1,1858.86666667,2016-03-08
1099,4,1,2073.55,2016-03-09
1021,7,1,2025.61666667,2016-03-10
1257,12,0,2442.3,2016-03-11
1301,10,0,2316.03333333,2016-03-12
1035,5,0,1902.36666667,2016-03-13
1178,7,1,2309.71666667,2016-03-14
1285,12,0,2548.83333333,2016-03-15
1219,5,0,2437.81666667,2016-03-16
1235,4,0,2288.13333333,2016-03-17
1361,8,1,2621.5,2016-03-18
1534,11,0,2872.28333333,2016-03-19
1397,21,0,2482.86666667,2016-03-20
1264,15,0,2275.31666667,2016-03-21
1267,14,2,2306.15,2016-03-22
1299,11,1,2416.91666667,2016-03-23
1323,9,0,2285.46666667,2016-03-24
1330,9,0,2488.2,2016-03-25
1229,12,0,2295.33333333,2016-03-26
1156,12,2,1996.43333333,2016-03-27
1095,12,1,1936.1,2016-03-28
1005,10,1,1842.78333333,2016-03-29
1727,14,2,2482.63333333,2016-03-30
1497,5,1,2289.61666667,2016-03-31
1303,14,2,2196.83333333,2016-04-01
1137,4,1,1966.28333333,2016-04-02
1083,25,0,1872.98333333,2016-04-03
973,7,1,1707.23333333,2016-04-04
1020,11,0,1831.56666667,2016-04-05
1014,8,1,1713.2,2016-04-06
1093,11,0,1988.96666667,2016-04-07
1084,4,1,2052.18333333,2016-04-08
1263,6,1,2171.55,2016-04-09
1090,11,0,1853.0,2016-04-10
1039,14,2,1885.25,2016-04-11
1029,19,0,1878.88333333,2016-04-12
1021,12,1,1836.31666667,2016-04-13
1121,5,0,2055.81666667,2016-04-14
1697,14,1,3193.78333333,2016-04-15
1891,10,0,3339.45,2016-04-16
1618,14,0,2804.2,2016-04-17
1484,12,0,2677.4,2016-04-18
1682,6,2,2872.28333333,2016-04-19
2708,24,0,4124.38333333,2016-04-20
2817,21,0,4226.23333333,2016-04-21
2883,19,0,4417.01666667,2016-04-22
2861,21,1,4424.03333333,2016-04-23
2606,23,2,3720.95,2016-04-24
2217,18,0,3298.6,2016-04-25
2240,18,3,3342.23333333,2016-04-26
2305,12,0,3419.43333333,2016-04-27
1923,12,2,2962.3,2016-04-28
2270,19,1,3364.33333333,2016-04-29
2252,17,3,3130.05,2016-04-30
1781,15,1,2372.35,2016-05-01
1654,15,0,2506.23333333,2016-05-02
1672,12,1,2545.18333333,2016-05-03
1636,12,1,2338.88333333,2016-05-04
1741,13,0,2567.16666667,2016-05-05
1978,16,0,2774.36666667,2016-05-06
2301,25,1,3382.85,2016-05-07
2212,22,0,3366.25,2016-05-08
1999,22,0,2866.38333333,2016-05-09
2154,16,0,3145.0,2016-05-10
2076,14,2,3010.4,2016-05-11
2697,22,0,3915.5,2016-05-12
2690,19,3,4016.3,2016-05-13
3145,28,3,4525.35,2016-05-14
2725,29,3,3976.51666667,2016-05-15
1766,19,2,2570.51666667,2016-05-16
1885,32,2,2742.31666667,2016-05-17
1893,13,2,2945.86666667,2016-05-18
2073,16,1,3214.05,2016-05-19
2190,8,0,3277.05,2016-05-20
2391,18,1,3409.1,2016-05-21
2123,16,0,3142.4,2016-05-22
1995,20,1,3022.03333333,2016-05-23
2003,10,1,3168.65,2016-05-24
2092,15,1,3107.51666667,2016-05-25
2085,12,1,3072.81666667,2016-05-26
2279,17,2,3168.5,2016-05-27
2191,12,3,3140.5,2016-05-28
2087,16,0,2994.13333333,2016-05-29
1931,15,0,2636.81666667,2016-05-30
1768,20,1,2520.11666667,2016-05-31
2117,17,1,2924.6,2016-06-01
2232,13,0,3087.63333333,2016-06-02
2631,23,0,3709.38333333,2016-06-03
2686,20,0,4074.6,2016-06-04
2244,14,1,3011.53333333,2016-06-05
2243,18,1,3368.2,2016-06-06
1898,24,0,2807.53333333,2016-06-07
1777,15,0,2597.96666667,2016-06-08
1854,20,2,2554.95,2016-06-09
1869,14,0,2586.2,2016-06-10
1939,20,2,2524.38333333,2016-06-11
1643,20,2,2075.26666667,2016-06-12
1638,24,0,2289.76666667,2016-06-13
1626,20,1,2297.88333333,2016-06-14
1603,20,0,2138.73333333,2016-06-15
1670,17,0,2447.06666667,2016-06-16
1756,24,1,2304.13333333,2016-06-17
1728,14,1,2250.8,2016-06-18
1478,15,1,1955.18333333,2016-06-19
1470,15,0,2042.11666667,2016-06-20
1630,20,1,2144.71666667,2016-06-21
1768,18,0,2382.13333333,2016-06-22
1899,26,0,2623.98333333,2016-06-23
2057,25,1,2739.5,2016-06-24
1915,31,0,2730.8,2016-06-25
1443,15,2,2011.8,2016-06-26
1465,13,0,2013.53333333,2016-06-27
3784,30,0,5693.03333333,2016-06-28
2048,21,1,3022.96666667,2016-06-29
2314,26,2,3475.33333333,2016-06-30
2458,20,1,3318.98333333,2016-07-01
2181,19,0,3059.33333333,2016-07-02
2191,11,0,2794.7,2016-07-03
2174,13,0,2860.8,2016-07-04
1610,15,1,2127.46666667,2016-07-05
1631,21,2,2234.93333333,2016-07-06
1767,15,1,2499.91666667,2016-07-07
1798,18,3,2389.93333333,2016-07-08
1673,18,1,2326.71666667,2016-07-09
1608,20,2,2248.45,2016-07-10
1518,11,1,1998.48333333,2016-07-11
1431,17,0,1966.66666667,2016-07-12
1459,14,0,1973.8,2016-07-13
1472,15,1,1946.85,2016-07-14
1427,18,0,1921.3,2016-07-15
1436,11,1,1886.81666667,2016-07-16
1306,12,0,1635.06666667,2016-07-17
1286,15,0,1674.03333333,2016-07-18
1265,9,0,1709.91666667,2016-07-19
1429,19,3,1666.98333333,2016-07-20
1887,19,0,2255.55,2016-07-21
1960,15,0,2488.5,2016-07-22
1665,11,0,2098.46666667,2016-07-23
1327,19,0,1639.36666667,2016-07-24
1368,20,0,1826.95,2016-07-25
1459,11,0,1946.85,2016-07-26
1434,14,0,1741.45,2016-07-27
1364,15,0,1747.28333333,2016-07-28
1512,18,0,1876.65,2016-07-29
1348,17,2,1614.13333333,2016-07-30
1314,24,1,1585.0,2016-07-31
1225,14,2,1570.33333333,2016-08-01
1192,11,1,1569.86666667,2016-08-02
1323,24,0,1620.85,2016-08-03
1363,18,0,1778.9,2016-08-04
1363,16,0,1793.13333333,2016-08-05
1255,8,0,1564.63333333,2016-08-06
1258,18,1,1535.76666667,2016-08-07
1221,17,0,1541.3,2016-08-08
1209,18,0,1524.31666667,2016-08-09
1208,12,0,1370.23333333,2016-08-10
1276,17,0,1552.33333333,2016-08-11
1395,20,0,1750.43333333,2016-08-12
1342,12,2,1745.75,2016-08-13
1264,10,0,1516.16666667,2016-08-14
1123,12,2,1413.95,2016-08-15
1091,12,0,1449.5,2016-08-16
