dailyViewcount,numShare,numSubscriber,watchTime,date
80941,1241,106,294227.833333,2015-02-23
108748,835,114,368068.266667,2015-02-24
81319,454,63,255647.683333,2015-02-25
72486,270,52,221271.466667,2015-02-26
75139,229,63,219469.183333,2015-02-27
73474,201,31,214200.85,2015-02-28
57291,153,31,166815.583333,2015-03-01
51350,140,20,152849.383333,2015-03-02
51235,189,23,152824.383333,2015-03-03
48724,264,28,148674.25,2015-03-04
48170,198,28,147126.616667,2015-03-05
54451,199,28,168279.883333,2015-03-06
65592,258,38,197729.016667,2015-03-07
48047,173,21,146029.716667,2015-03-08
44287,175,24,137755.15,2015-03-09
36406,188,36,106567.016667,2015-03-10
38460,175,24,116441.466667,2015-03-11
46808,184,25,144431.216667,2015-03-12
52711,201,23,162108.166667,2015-03-13
56492,224,16,171832.416667,2015-03-14
47853,189,17,144292.883333,2015-03-15
42266,161,28,132579.35,2015-03-16
41940,214,12,132617.866667,2015-03-17
43412,163,18,132875.966667,2015-03-18
45329,160,15,140134.95,2015-03-19
50609,177,24,155500.733333,2015-03-20
56893,170,26,173922.783333,2015-03-21
47179,166,17,143480.9,2015-03-22
44981,162,21,139374.333333,2015-03-23
45479,160,13,139835.333333,2015-03-24
46406,163,13,142254.183333,2015-03-25
45631,163,20,138959.033333,2015-03-26
54031,188,19,164912.0,2015-03-27
61438,185,25,185110.183333,2015-03-28
49430,148,7,147201.75,2015-03-29
46179,128,15,139682.766667,2015-03-30
45600,119,19,138329.983333,2015-03-31
49315,120,19,147094.2,2015-04-01
52725,159,23,158417.183333,2015-04-02
57861,165,21,173187.216667,2015-04-03
61210,144,25,181246.533333,2015-04-04
56252,151,23,167397.616667,2015-04-05
53517,136,27,159839.616667,2015-04-06
50992,137,19,152326.25,2015-04-07
51467,141,10,155512.183333,2015-04-08
54581,208,30,164168.166667,2015-04-09
59590,187,19,178547.183333,2015-04-10
63903,184,19,189822.733333,2015-04-11
52211,152,16,153619.716667,2015-04-12
49534,192,20,149523.283333,2015-04-13
50177,129,14,149582.783333,2015-04-14
50603,156,10,150421.016667,2015-04-15
52885,187,20,156699.5,2015-04-16
57128,213,23,170505.033333,2015-04-17
62191,210,21,183479.983333,2015-04-18
53325,181,24,155158.05,2015-04-19
48805,163,16,145799.75,2015-04-20
47734,157,19,142123.666667,2015-04-21
48823,150,12,145951.05,2015-04-22
50552,124,14,151291.133333,2015-04-23
55857,172,22,166138.0,2015-04-24
64383,184,21,187659.516667,2015-04-25
52899,171,16,152723.883333,2015-04-26
49835,119,17,146341.833333,2015-04-27
51503,158,17,151680.55,2015-04-28
51117,146,7,149915.383333,2015-04-29
55999,168,19,164148.666667,2015-04-30
62079,143,25,178064.85,2015-05-01
63242,210,23,183341.55,2015-05-02
52921,135,15,151650.7,2015-05-03
49960,154,21,146638.966667,2015-05-04
49835,145,16,145881.7,2015-05-05
50444,159,18,147902.65,2015-05-06
54056,127,18,158616.933333,2015-05-07
62818,194,19,183624.666667,2015-05-08
68434,158,23,200114.366667,2015-05-09
57343,150,26,165188.516667,2015-05-10
52330,148,18,152483.75,2015-05-11
52529,177,21,152367.783333,2015-05-12
56322,221,17,162306.35,2015-05-13
61033,257,23,177570.016667,2015-05-14
64769,226,19,190489.6,2015-05-15
69452,236,18,202058.3,2015-05-16
56531,239,12,162473.183333,2015-05-17
50920,193,21,149628.633333,2015-05-18
53205,179,21,154169.9,2015-05-19
53654,205,12,155367.433333,2015-05-20
55988,181,28,161921.883333,2015-05-21
64596,229,19,186343.933333,2015-05-22
71766,240,19,206865.466667,2015-05-23
62354,265,19,177199.383333,2015-05-24
60033,214,13,172869.833333,2015-05-25
52540,208,13,151149.716667,2015-05-26
54556,194,22,158443.816667,2015-05-27
56644,207,15,163485.75,2015-05-28
63160,201,23,178611.383333,2015-05-29
70929,242,21,202974.5,2015-05-30
63355,252,22,175722.75,2015-05-31
60877,196,21,168787.4,2015-06-01
59577,223,20,167835.883333,2015-06-02
58165,250,13,165074.683333,2015-06-03
59729,245,15,172826.833333,2015-06-04
64545,220,22,186928.2,2015-06-05
68950,199,16,199666.433333,2015-06-06
58685,271,12,168632.866667,2015-06-07
56740,232,24,154471.1,2015-06-08
57900,206,31,160412.866667,2015-06-09
60826,219,24,172664.05,2015-06-10
64323,212,17,181778.15,2015-06-11
68675,254,18,193331.7,2015-06-12
74593,229,29,212262.35,2015-06-13
62276,252,16,173968.4,2015-06-14
59598,195,16,165167.183333,2015-06-15
57432,207,12,161448.683333,2015-06-16
55287,180,12,157405.983333,2015-06-17
52612,176,19,152350.833333,2015-06-18
59089,240,15,169958.233333,2015-06-19
65274,223,21,188527.083333,2015-06-20
57390,195,24,162512.066667,2015-06-21
50479,185,13,144695.466667,2015-06-22
49652,183,20,144177.85,2015-06-23
49650,152,10,144798.616667,2015-06-24
49878,191,12,144978.75,2015-06-25
54876,173,11,159321.633333,2015-06-26
60650,189,11,174863.616667,2015-06-27
51568,185,17,147155.316667,2015-06-28
49241,175,13,140822.116667,2015-06-29
51605,176,17,145779.916667,2015-06-30
51657,188,13,146459.683333,2015-07-01
54331,183,16,153082.216667,2015-07-02
60986,213,24,171624.45,2015-07-03
64125,233,26,182635.85,2015-07-04
54005,200,12,148060.816667,2015-07-05
51320,174,19,142897.616667,2015-07-06
50841,206,14,142120.6,2015-07-07
51414,191,11,143596.516667,2015-07-08
53365,203,13,149160.783333,2015-07-09
58035,220,16,162840.3,2015-07-10
62383,221,22,176449.2,2015-07-11
54204,196,13,148180.816667,2015-07-12
52601,183,21,146280.083333,2015-07-13
53244,183,15,146351.333333,2015-07-14
51538,171,15,142644.966667,2015-07-15
56106,210,14,155689.6,2015-07-16
63498,227,15,177525.466667,2015-07-17
66045,190,22,186122.45,2015-07-18
57331,235,21,156957.016667,2015-07-19
55273,220,18,151179.133333,2015-07-20
56724,222,21,156722.766667,2015-07-21
56601,180,20,155984.733333,2015-07-22
57573,217,26,159410.433333,2015-07-23
60894,222,17,169823.916667,2015-07-24
64064,265,20,179361.3,2015-07-25
55060,265,12,149841.8,2015-07-26
52499,204,17,143143.533333,2015-07-27
55067,228,10,151535.25,2015-07-28
53748,210,14,147814.616667,2015-07-29
55877,180,17,153968.616667,2015-07-30
59909,202,18,166378.566667,2015-07-31
63435,194,12,176281.833333,2015-08-01
53677,186,14,146521.1,2015-08-02
52470,236,18,143453.75,2015-08-03
54207,198,6,148247.85,2015-08-04
56270,213,16,154700.4,2015-08-05
59633,189,17,162708.45,2015-08-06
62398,209,22,172079.35,2015-08-07
65253,209,12,180439.483333,2015-08-08
56367,180,17,151053.0,2015-08-09
53365,197,16,145375.05,2015-08-10
54396,219,11,148388.233333,2015-08-11
55407,195,17,152129.6,2015-08-12
57719,206,13,156618.833333,2015-08-13
62916,226,13,170975.4,2015-08-14
67208,234,10,185031.25,2015-08-15
53656,236,11,146230.85,2015-08-16
51306,212,18,139330.15,2015-08-17
52293,231,16,141093.966667,2015-08-18
53092,225,16,144391.366667,2015-08-19
55188,193,13,150595.35,2015-08-20
61319,231,18,167491.583333,2015-08-21
65536,242,13,180699.533333,2015-08-22
56644,224,13,152532.916667,2015-08-23
52343,214,17,141578.15,2015-08-24
53615,223,26,144964.3,2015-08-25
53826,229,14,144246.933333,2015-08-26
54378,226,23,146934.966667,2015-08-27
60065,168,17,164719.85,2015-08-28
63477,228,12,174352.9,2015-08-29
52564,206,13,142001.7,2015-08-30
47717,171,12,123440.25,2015-08-31
48589,177,11,130072.483333,2015-09-01
49569,190,15,134470.216667,2015-09-02
50197,222,14,135489.383333,2015-09-03
56944,193,13,156154.116667,2015-09-04
65415,229,15,179475.833333,2015-09-05
54795,217,18,148935.6,2015-09-06
48989,164,11,134314.483333,2015-09-07
46427,189,19,127231.95,2015-09-08
48206,198,15,131076.633333,2015-09-09
49079,165,16,133783.666667,2015-09-10
55877,204,16,152859.766667,2015-09-11
64582,206,13,176458.783333,2015-09-12
52919,225,10,143051.366667,2015-09-13
45357,176,10,122759.833333,2015-09-14
45761,220,13,125047.466667,2015-09-15
47153,209,11,126819.916667,2015-09-16
49224,220,8,134474.933333,2015-09-17
57443,191,13,157970.1,2015-09-18
65797,204,15,182344.666667,2015-09-19
53064,217,10,144896.083333,2015-09-20
46194,261,16,125410.033333,2015-09-21
46499,177,8,127995.116667,2015-09-22
47744,173,10,131822.25,2015-09-23
50345,200,14,139889.45,2015-09-24
53834,185,17,147618.833333,2015-09-25
62976,213,14,175789.716667,2015-09-26
50776,215,13,138154.233333,2015-09-27
41930,168,8,114314.966667,2015-09-28
42636,177,14,114267.466667,2015-09-29
44377,188,7,121171.583333,2015-09-30
47311,240,19,129734.2,2015-10-01
54664,222,7,149486.55,2015-10-02
63685,232,19,176051.583333,2015-10-03
49705,221,8,133384.033333,2015-10-04
42726,175,18,115006.283333,2015-10-05
44393,209,9,121022.016667,2015-10-06
46560,198,14,126231.333333,2015-10-07
55964,135,16,157028.883333,2015-10-08
72444,240,23,206698.416667,2015-10-09
85918,239,20,246543.9,2015-10-10
67369,217,21,190890.1,2015-10-11
