dailyViewcount,numShare,numSubscriber,watchTime,date
406,6,0,858.366666667,2016-02-06
2263,51,0,4094.53333333,2016-02-07
7933,140,2,17426.75,2016-02-08
18194,309,5,48125.8666667,2016-02-09
53725,549,17,137629.883333,2016-02-10
69111,601,23,184815.933333,2016-02-11
84739,500,17,223074.383333,2016-02-12
76234,510,8,212082.8,2016-02-13
67439,434,10,190585.066667,2016-02-14
71368,531,9,205168.416667,2016-02-15
71209,556,11,212328.066667,2016-02-16
81823,570,10,235109.783333,2016-02-17
88479,507,11,251327.183333,2016-02-18
86898,466,12,249381.983333,2016-02-19
83132,429,8,232605.583333,2016-02-20
81024,509,3,228014.283333,2016-02-21
91742,599,12,270337.616667,2016-02-22
98422,608,10,289342.15,2016-02-23
93710,538,9,277201.183333,2016-02-24
97757,549,14,291528.833333,2016-02-25
93834,431,8,280379.416667,2016-02-26
106954,449,13,312374.75,2016-02-27
105195,512,6,306583.016667,2016-02-28
90526,449,4,272919.616667,2016-02-29
91953,484,5,274717.75,2016-03-01
93783,447,16,280978.85,2016-03-02
87713,447,6,266463.1,2016-03-03
87822,415,9,267500.683333,2016-03-04
88936,395,5,258376.816667,2016-03-05
82710,464,5,241215.033333,2016-03-06
90454,497,5,273027.133333,2016-03-07
89758,513,4,274192.433333,2016-03-08
89792,436,4,271352.566667,2016-03-09
91854,513,7,277601.133333,2016-03-10
94574,463,5,285049.516667,2016-03-11
90386,441,4,262758.333333,2016-03-12
80449,414,5,234135.433333,2016-03-13
91618,497,8,276737.483333,2016-03-14
92305,517,3,278306.683333,2016-03-15
92255,497,7,278814.633333,2016-03-16
92950,486,6,279983.75,2016-03-17
99220,433,2,295453.316667,2016-03-18
98781,464,5,285542.733333,2016-03-19
95239,477,7,270953.9,2016-03-20
103576,537,5,309362.066667,2016-03-21
102575,484,6,307069.016667,2016-03-22
101385,489,9,306092.7,2016-03-23
104095,535,5,310935.116667,2016-03-24
105835,463,6,312762.85,2016-03-25
100840,471,4,294420.85,2016-03-26
89649,439,6,256458.9,2016-03-27
102400,529,5,302704.55,2016-03-28
105533,585,7,314222.333333,2016-03-29
104806,539,7,312276.066667,2016-03-30
136959,581,6,401409.966667,2016-03-31
152562,558,6,445623.5,2016-04-01
115669,486,6,332133.35,2016-04-02
106047,562,3,301460.5,2016-04-03
112456,562,8,329649.633333,2016-04-04
114759,595,8,336507.533333,2016-04-05
109620,593,3,325632.766667,2016-04-06
111416,657,6,330481.533333,2016-04-07
117911,562,5,348342.85,2016-04-08
99289,477,3,283838.883333,2016-04-09
102255,486,6,288967.5,2016-04-10
114762,476,11,333416.533333,2016-04-11
118197,546,7,345209.266667,2016-04-12
113158,542,7,331819.75,2016-04-13
133439,550,7,385978.816667,2016-04-14
122999,467,7,356461.2,2016-04-15
126359,469,6,357705.0,2016-04-16
115948,450,8,323550.5,2016-04-17
122768,450,10,352773.466667,2016-04-18
123377,571,12,356104.533333,2016-04-19
127202,721,9,369460.233333,2016-04-20
127238,680,9,368981.766667,2016-04-21
122284,543,6,353260.733333,2016-04-22
125107,644,4,354706.983333,2016-04-23
110985,673,6,312419.6,2016-04-24
117057,618,7,337266.583333,2016-04-25
121471,661,11,347605.733333,2016-04-26
137149,569,12,387224.066667,2016-04-27
148500,706,13,415131.133333,2016-04-28
139863,815,4,391781.466667,2016-04-29
119123,805,3,333006.933333,2016-04-30
103895,711,5,286809.116667,2016-05-01
119320,709,9,338395.466667,2016-05-02
124828,678,8,345265.566667,2016-05-03
119592,689,6,327927.433333,2016-05-04
124944,756,3,340583.783333,2016-05-05
