dailyViewcount,numShare,numSubscriber,watchTime,date
59983,3984,54,160570.416667,2017-03-20
34891,1192,32,104664.883333,2017-03-21
25747,701,23,80259.0333333,2017-03-22
24546,665,12,72487.8333333,2017-03-23
53821,1245,25,136110.5,2017-03-24
56316,1115,28,143279.583333,2017-03-25
48095,915,29,123830.966667,2017-03-26
43162,787,15,122410.533333,2017-03-27
61133,1229,31,156087.633333,2017-03-28
69022,1231,24,174772.7,2017-03-29
71414,961,18,186723.383333,2017-03-30
71467,834,17,186813.95,2017-03-31
73740,813,21,192594.533333,2017-04-01
65652,752,17,172547.083333,2017-04-02
66316,713,24,177267.566667,2017-04-03
68614,752,20,178594.783333,2017-04-04
65038,722,14,170433.533333,2017-04-05
61783,662,16,162764.966667,2017-04-06
61219,586,10,164122.766667,2017-04-07
69606,671,17,183023.283333,2017-04-08
63231,587,13,162990.933333,2017-04-09
64337,574,18,170855.55,2017-04-10
66213,636,12,176191.266667,2017-04-11
65372,644,16,171130.6,2017-04-12
68336,600,19,179115.266667,2017-04-13
69981,717,13,180000.416667,2017-04-14
68047,654,17,175037.95,2017-04-15
66024,592,11,169185.466667,2017-04-16
67676,639,13,175989.666667,2017-04-17
80659,675,19,206033.766667,2017-04-18
73895,689,9,189590.266667,2017-04-19
67770,578,26,174741.633333,2017-04-20
73431,616,12,192752.683333,2017-04-21
76806,658,8,198568.45,2017-04-22
66078,592,9,168760.833333,2017-04-23
67234,565,15,177013.183333,2017-04-24
66072,587,6,174833.716667,2017-04-25
67298,527,18,177230.383333,2017-04-26
68027,527,15,179220.616667,2017-04-27
72891,555,12,191892.516667,2017-04-28
74662,617,16,192386.083333,2017-04-29
62331,504,11,159922.333333,2017-04-30
62626,507,8,164998.633333,2017-05-01
64928,498,7,173409.1,2017-05-02
68183,512,13,180312.633333,2017-05-03
71628,456,16,189495.666667,2017-05-04
73541,504,9,193048.2,2017-05-05
72937,576,8,186957.133333,2017-05-06
64263,542,15,165308.783333,2017-05-07
61399,447,12,163287.95,2017-05-08
64241,477,14,169966.15,2017-05-09
61238,491,6,159392.333333,2017-05-10
58168,495,6,150994.283333,2017-05-11
83445,583,14,210314.2,2017-05-12
84178,605,13,213320.766667,2017-05-13
73685,470,10,184974.85,2017-05-14
70130,472,16,182564.583333,2017-05-15
80808,498,13,210935.466667,2017-05-16
84856,591,15,222466.466667,2017-05-17
88090,572,6,221582.483333,2017-05-18
93540,527,11,238525.0,2017-05-19
82614,517,11,209685.216667,2017-05-20
59590,462,9,153541.55,2017-05-21
66484,433,16,172041.05,2017-05-22
