dailyViewcount,numShare,numSubscriber,watchTime,date
856940,4486,2147,2313355.41667,2013-04-29
1491325,3579,2340,3798875.7,2013-04-30
1066361,2442,1647,2921356.21667,2013-05-01
826806,2224,1420,2452326.2,2013-05-02
488945,1302,715,1641606.41667,2013-05-03
399990,922,552,1359707.68333,2013-05-04
320906,732,430,1111277.91667,2013-05-05
296769,668,351,1044344.38333,2013-05-06
266815,562,243,948734.766667,2013-05-07
230171,482,226,856469.55,2013-05-08
226539,468,209,843181.983333,2013-05-09
226210,495,252,830073.766667,2013-05-10
232667,447,202,841820.6,2013-05-11
212393,454,199,770318.883333,2013-05-12
211589,481,205,777661.733333,2013-05-13
218876,448,209,811336.766667,2013-05-14
218569,431,195,806748.55,2013-05-15
228080,416,201,841482.9,2013-05-16
224375,383,208,829450.233333,2013-05-17
228573,430,219,828684.466667,2013-05-18
217827,412,195,784440.483333,2013-05-19
219222,438,199,799489.85,2013-05-20
212422,396,195,776602.166667,2013-05-21
216350,414,230,790889.866667,2013-05-22
226914,413,245,829317.25,2013-05-23
236823,454,226,857646.033333,2013-05-24
249997,398,221,898410.55,2013-05-25
227076,358,195,813782.366667,2013-05-26
219525,384,185,800593.166667,2013-05-27
220175,378,182,797117.85,2013-05-28
220481,370,181,799107.3,2013-05-29
214742,348,178,771986.9,2013-05-30
222740,362,197,789482.416667,2013-05-31
231154,307,172,809647.6,2013-06-01
219607,376,176,770524.3,2013-06-02
227313,382,198,799651.683333,2013-06-03
221599,322,206,785991.683333,2013-06-04
212599,302,175,761774.5,2013-06-05
211140,304,157,758142.533333,2013-06-06
223523,334,184,797877.983333,2013-06-07
219949,320,150,786708.55,2013-06-08
194656,307,157,688303.35,2013-06-09
200630,306,140,712880.6,2013-06-10
204550,342,147,723327.166667,2013-06-11
202520,324,165,720192.2,2013-06-12
213047,339,177,756971.133333,2013-06-13
219761,319,168,787504.516667,2013-06-14
219898,311,177,764756.433333,2013-06-15
206338,298,157,715305.0,2013-06-16
207943,302,163,727788.75,2013-06-17
209643,325,191,725824.35,2013-06-18
212513,317,185,736914.216667,2013-06-19
214139,302,171,739722.3,2013-06-20
218079,353,162,754279.533333,2013-06-21
227607,332,200,773467.133333,2013-06-22
242730,388,240,815117.0,2013-06-23
227930,388,195,777817.683333,2013-06-24
208756,351,190,724703.866667,2013-06-25
215496,348,219,746704.766667,2013-06-26
225324,311,182,779536.1,2013-06-27
220655,308,178,758936.583333,2013-06-28
228985,347,173,777516.4,2013-06-29
207487,315,175,698337.8,2013-06-30
230283,340,166,772340.65,2013-07-01
262268,396,196,864486.45,2013-07-02
256264,340,214,848527.416667,2013-07-03
287541,385,233,918009.783333,2013-07-04
282421,402,256,903894.216667,2013-07-05
237685,349,200,772276.466667,2013-07-06
255142,379,226,810212.833333,2013-07-07
259590,367,215,848987.266667,2013-07-08
273254,388,233,882600.1,2013-07-09
263180,385,220,856508.983333,2013-07-10
279400,413,212,861966.283333,2013-07-11
281555,372,240,852842.966667,2013-07-12
254811,301,192,761704.233333,2013-07-13
228637,291,193,679467.466667,2013-07-14
237865,314,188,721389.266667,2013-07-15
219756,306,199,670301.916667,2013-07-16
215789,256,176,655586.9,2013-07-17
218941,265,160,677890.283333,2013-07-18
218458,271,151,714420.65,2013-07-19
215527,270,159,687105.483333,2013-07-20
198617,256,139,632732.716667,2013-07-21
212015,271,177,685814.666667,2013-07-22
210599,290,175,679117.383333,2013-07-23
204897,276,169,665212.516667,2013-07-24
197260,180,145,645149.45,2013-07-25
201392,262,148,653290.5,2013-07-26
189190,214,143,604705.016667,2013-07-27
171482,246,153,544722.55,2013-07-28
188016,254,130,606620.15,2013-07-29
192709,212,138,614916.966667,2013-07-30
191391,275,167,608236.966667,2013-07-31
183186,228,146,591480.2,2013-08-01
182299,221,143,589760.166667,2013-08-02
170558,205,124,540844.8,2013-08-03
159138,217,112,501469.883333,2013-08-04
167080,200,124,534064.033333,2013-08-05
172430,177,135,553434.066667,2013-08-06
175939,256,149,563032.816667,2013-08-07
181159,210,119,574191.733333,2013-08-08
178337,225,138,566050.533333,2013-08-09
167339,204,134,525795.85,2013-08-10
160500,170,121,496061.983333,2013-08-11
177235,236,149,561658.833333,2013-08-12
171875,216,152,544478.616667,2013-08-13
171126,215,137,550591.6,2013-08-14
158424,195,129,507257.55,2013-08-15
165957,191,121,524508.666667,2013-08-16
164568,198,130,508543.966667,2013-08-17
155811,202,123,479168.0,2013-08-18
155057,184,118,486477.983333,2013-08-19
155223,174,130,481855.5,2013-08-20
154303,197,99,476021.2,2013-08-21
155065,160,97,481439.033333,2013-08-22
158400,173,88,494169.25,2013-08-23
157546,143,120,487186.0,2013-08-24
136220,134,105,418974.083333,2013-08-25
134727,149,88,416108.816667,2013-08-26
133942,173,97,415793.816667,2013-08-27
131388,124,96,409433.416667,2013-08-28
133379,180,99,416793.516667,2013-08-29
