dailyViewcount,numShare,numSubscriber,watchTime,date
62468,539,80,221961.2,2014-02-07
49841,277,69,174955.2,2014-02-08
38808,171,36,142326.833333,2014-02-09
42380,159,46,145726.133333,2014-02-10
39148,137,34,130245.083333,2014-02-11
33280,94,26,113726.366667,2014-02-12
35388,118,32,120646.366667,2014-02-13
34792,138,28,120101.333333,2014-02-14
36822,107,34,119649.9,2014-02-15
33492,75,23,110868.633333,2014-02-16
34724,110,25,114549.916667,2014-02-17
33281,112,33,109505.433333,2014-02-18
37170,151,26,120453.633333,2014-02-19
39139,114,38,126674.766667,2014-02-20
45058,137,38,141718.616667,2014-02-21
42867,119,30,135081.033333,2014-02-22
38523,102,33,123154.283333,2014-02-23
38937,113,43,127728.466667,2014-02-24
36592,117,18,121280.683333,2014-02-25
37627,102,30,123383.483333,2014-02-26
40563,130,35,131617.35,2014-02-27
40987,100,23,134049.35,2014-02-28
40922,124,29,132078.633333,2014-03-01
35739,89,29,116451.633333,2014-03-02
35680,96,28,119934.516667,2014-03-03
32192,94,25,111355.5,2014-03-04
36336,112,29,120920.1,2014-03-05
40258,105,27,131078.316667,2014-03-06
42325,144,35,139411.15,2014-03-07
45439,118,31,146317.966667,2014-03-08
36138,84,23,120645.833333,2014-03-09
38032,118,24,132396.65,2014-03-10
34205,106,24,120390.95,2014-03-11
34032,113,38,121087.4,2014-03-12
35093,112,32,124971.05,2014-03-13
37329,138,28,131572.2,2014-03-14
39079,94,38,135468.783333,2014-03-15
33157,110,24,116283.683333,2014-03-16
32509,85,28,114212.316667,2014-03-17
33204,95,25,119574.8,2014-03-18
32348,116,26,116364.25,2014-03-19
33406,118,26,118917.166667,2014-03-20
36263,138,35,128736.75,2014-03-21
37332,94,25,131331.3,2014-03-22
31993,82,27,111574.033333,2014-03-23
30750,99,23,110182.4,2014-03-24
31153,80,35,109667.066667,2014-03-25
31149,107,18,106600.383333,2014-03-26
33421,101,21,115136.7,2014-03-27
36041,86,34,123162.866667,2014-03-28
37156,83,25,124720.083333,2014-03-29
32280,64,17,111647.066667,2014-03-30
32135,74,25,113162.383333,2014-03-31
34966,110,28,119948.8,2014-04-01
35001,91,31,119000.316667,2014-04-02
36472,106,32,121953.616667,2014-04-03
39995,100,25,134247.6,2014-04-04
39788,95,29,132357.866667,2014-04-05
35525,58,21,117632.183333,2014-04-06
35814,129,30,120223.766667,2014-04-07
36093,86,26,120867.116667,2014-04-08
35613,93,30,122144.433333,2014-04-09
38989,116,30,136602.916667,2014-04-10
41664,102,28,143690.966667,2014-04-11
42646,84,35,145678.1,2014-04-12
36114,57,29,122720.6,2014-04-13
36897,86,29,127523.566667,2014-04-14
37894,85,24,127629.316667,2014-04-15
36884,78,28,126149.183333,2014-04-16
40750,94,33,137306.066667,2014-04-17
42637,82,37,140274.883333,2014-04-18
44548,79,38,144862.7,2014-04-19
40935,88,18,132225.533333,2014-04-20
39042,71,32,130582.216667,2014-04-21
36360,67,35,123778.333333,2014-04-22
36292,81,23,122882.983333,2014-04-23
38539,88,25,128126.333333,2014-04-24
40832,84,32,135476.566667,2014-04-25
43444,105,28,141828.5,2014-04-26
36881,90,20,121903.833333,2014-04-27
38020,99,26,126828.95,2014-04-28
40827,94,26,132209.833333,2014-04-29
43876,99,29,140118.916667,2014-04-30
43391,91,28,137907.7,2014-05-01
43889,103,21,142758.033333,2014-05-02
45838,85,20,143852.633333,2014-05-03
39748,74,30,129417.766667,2014-05-04
39228,83,36,130755.016667,2014-05-05
38300,82,18,126835.566667,2014-05-06
38312,111,31,125752.8,2014-05-07
40085,83,16,128976.283333,2014-05-08
46866,99,39,151347.866667,2014-05-09
49629,89,23,158624.016667,2014-05-10
38246,90,18,123719.733333,2014-05-11
40069,98,26,133929.666667,2014-05-12
40138,72,31,132938.35,2014-05-13
38405,95,26,128942.65,2014-05-14
37724,64,22,126528.9,2014-05-15
42354,104,28,140527.216667,2014-05-16
44425,82,34,146456.366667,2014-05-17
37451,56,21,124505.4,2014-05-18
37376,90,26,124248.416667,2014-05-19
36467,87,25,120823.3,2014-05-20
37024,71,22,122018.866667,2014-05-21
38261,70,19,125361.883333,2014-05-22
43219,98,13,138228.266667,2014-05-23
42230,69,29,138251.716667,2014-05-24
38167,47,16,121144.416667,2014-05-25
38203,88,22,124855.266667,2014-05-26
35967,81,28,117990.266667,2014-05-27
37812,68,17,123477.566667,2014-05-28
