dailyViewcount,numShare,numSubscriber,watchTime,date
10965,146,5,17988.5,2017-02-17
12654,79,3,17526.2833333,2017-02-18
8533,61,0,11180.95,2017-02-19
20720,181,0,27951.6666667,2017-02-20
23612,221,8,35007.7666667,2017-02-21
24873,258,7,36765.7666667,2017-02-22
25019,231,9,35500.2,2017-02-23
30561,261,9,42791.4,2017-02-24
38329,351,11,54199.0833333,2017-02-25
35936,361,5,50136.95,2017-02-26
35781,350,7,51733.9833333,2017-02-27
43495,434,5,63407.6666667,2017-02-28
37817,371,7,54585.8,2017-03-01
38893,400,8,55303.0166667,2017-03-02
38107,382,8,53746.9833333,2017-03-03
38583,378,7,53628.5166667,2017-03-04
32239,324,4,44632.1166667,2017-03-05
30262,309,6,41878.2833333,2017-03-06
27807,272,3,38794.2,2017-03-07
30787,312,2,42878.4833333,2017-03-08
27552,253,2,38518.2333333,2017-03-09
23608,182,2,33157.9666667,2017-03-10
29156,224,4,40821.6333333,2017-03-11
30544,302,0,42382.35,2017-03-12
38930,403,5,54607.9666667,2017-03-13
29877,290,4,41420.1666667,2017-03-14
38668,356,6,54247.1166667,2017-03-15
31073,272,2,44555.35,2017-03-16
40137,294,5,55132.7666667,2017-03-17
29925,210,2,40032.9,2017-03-18
28085,223,2,37704.2333333,2017-03-19
30337,273,3,41430.4166667,2017-03-20
26881,233,1,37383.6833333,2017-03-21
29883,302,4,39973.1333333,2017-03-22
26967,241,3,36973.9333333,2017-03-23
27742,224,2,37482.4333333,2017-03-24
34648,306,4,47013.8166667,2017-03-25
33975,313,2,45989.7833333,2017-03-26
22057,186,0,30087.3166667,2017-03-27
25976,246,2,35112.5166667,2017-03-28
26063,206,2,36128.5,2017-03-29
20108,184,1,28028.35,2017-03-30
25502,209,1,35781.8166667,2017-03-31
24810,201,4,34198.5166667,2017-04-01
20027,164,2,27535.1666667,2017-04-02
19513,160,5,27608.45,2017-04-03
21435,184,2,29927.6833333,2017-04-04
19604,160,2,25510.2833333,2017-04-05
19378,167,2,25681.45,2017-04-06
25691,171,3,33121.6333333,2017-04-07
24730,200,1,32320.35,2017-04-08
21981,199,1,28687.2666667,2017-04-09
25208,255,4,33394.9666667,2017-04-10
21992,192,3,29271.6666667,2017-04-11
21283,159,0,27886.6333333,2017-04-12
19814,155,3,25647.6666667,2017-04-13
19973,170,3,25814.4833333,2017-04-14
21244,196,2,26520.15,2017-04-15
19411,147,1,24992.1166667,2017-04-16
21033,181,1,27745.8,2017-04-17
25093,246,1,32034.4,2017-04-18
22964,256,1,29877.7666667,2017-04-19
24951,237,3,32701.45,2017-04-20
21999,159,2,28877.75,2017-04-21
23567,166,1,30833.1333333,2017-04-22
19665,145,3,25643.4333333,2017-04-23
19039,168,2,24654.2666667,2017-04-24
17955,157,2,23241.2666667,2017-04-25
18520,165,2,23977.3833333,2017-04-26
18919,166,2,24256.2333333,2017-04-27
18943,173,4,23873.8833333,2017-04-28
19256,151,2,24124.2666667,2017-04-29
21868,183,3,27133.85,2017-04-30
20373,182,5,26450.0666667,2017-05-01
20942,182,0,27013.4833333,2017-05-02
20896,200,0,27215.65,2017-05-03
21450,206,3,28205.4166667,2017-05-04
22252,174,2,28360.4166667,2017-05-05
20527,175,2,25534.3333333,2017-05-06
19976,186,0,25312.0,2017-05-07
17700,153,0,22559.75,2017-05-08
21150,224,2,27023.3666667,2017-05-09
20817,234,2,26642.6333333,2017-05-10
23267,223,0,30177.4,2017-05-11
27624,226,2,37268.2333333,2017-05-12
27389,249,1,37565.7833333,2017-05-13
21605,197,2,29082.8,2017-05-14
22889,254,0,32579.1,2017-05-15
20326,199,5,28360.7666667,2017-05-16
21349,203,2,29713.3666667,2017-05-17
23859,214,1,31638.0,2017-05-18
20135,202,4,27057.7,2017-05-19
19786,181,5,26037.0,2017-05-20
19548,212,0,25576.6,2017-05-21
19357,210,0,25590.6,2017-05-22
