dailyViewcount,numShare,numSubscriber,watchTime,date
792,15,0,1954.0,2015-07-26
170,7,0,439.6,2015-07-27
134,2,0,332.8,2015-07-28
224,6,0,584.466666667,2015-07-29
554,8,1,1359.43333333,2015-07-30
569,14,0,1703.3,2015-07-31
517,12,0,1754.56666667,2015-08-01
508,13,0,1382.36666667,2015-08-02
618,10,0,1693.38333333,2015-08-03
611,10,0,1723.35,2015-08-04
617,8,0,1937.78333333,2015-08-05
847,11,0,2529.28333333,2015-08-06
861,17,0,2620.8,2015-08-07
839,13,0,2523.71666667,2015-08-08
907,9,1,2583.16666667,2015-08-09
1076,20,0,3394.13333333,2015-08-10
993,11,0,3044.8,2015-08-11
1121,16,0,3504.7,2015-08-12
1206,16,0,3699.51666667,2015-08-13
1126,12,0,3404.88333333,2015-08-14
1156,11,0,3301.3,2015-08-15
1223,7,0,3373.53333333,2015-08-16
1420,19,0,3954.85,2015-08-17
1454,12,0,4287.48333333,2015-08-18
1533,6,0,4362.26666667,2015-08-19
1617,13,0,4532.35,2015-08-20
1298,14,0,3618.11666667,2015-08-21
1320,10,0,3628.75,2015-08-22
1922,15,0,5178.5,2015-08-23
1432,13,0,4144.53333333,2015-08-24
1320,11,0,3800.63333333,2015-08-25
1269,9,0,3840.91666667,2015-08-26
1586,9,0,4359.4,2015-08-27
1699,10,0,4461.28333333,2015-08-28
1704,15,1,4801.35,2015-08-29
1605,15,0,4235.73333333,2015-08-30
1563,13,0,3844.71666667,2015-08-31
1623,10,0,4394.36666667,2015-09-01
1741,8,0,4822.3,2015-09-02
1661,12,0,4554.08333333,2015-09-03
1647,8,0,4422.15,2015-09-04
1661,14,0,4348.8,2015-09-05
1928,21,0,5244.16666667,2015-09-06
2125,13,0,5865.96666667,2015-09-07
2311,15,0,6135.38333333,2015-09-08
5102,28,0,13448.2833333,2015-09-09
5227,30,-1,14286.4,2015-09-10
5412,42,0,15070.7166667,2015-09-11
5593,30,1,15161.5,2015-09-12
5397,39,0,14686.95,2015-09-13
7522,45,0,20015.2166667,2015-09-14
8109,65,0,21120.1166667,2015-09-15
8513,68,1,22501.75,2015-09-16
7049,46,0,19714.5666667,2015-09-17
8654,31,0,23584.7666667,2015-09-18
10787,57,1,28127.5833333,2015-09-19
9231,51,-1,23321.7166667,2015-09-20
7598,55,0,20480.1333333,2015-09-21
7144,39,0,19723.95,2015-09-22
7306,45,0,19116.5333333,2015-09-23
7789,30,0,20620.6166667,2015-09-24
8052,45,0,21342.2666667,2015-09-25
7292,43,0,19138.9333333,2015-09-26
7180,52,1,19047.8833333,2015-09-27
5547,22,0,14781.5833333,2015-09-28
4528,33,0,12628.4333333,2015-09-29
6357,19,1,17282.0166667,2015-09-30
6509,30,0,16913.95,2015-10-01
5102,27,0,14317.75,2015-10-02
4565,23,1,12351.9333333,2015-10-03
4744,31,0,12656.0,2015-10-04
4738,23,0,13260.6833333,2015-10-05
4631,20,0,12566.1333333,2015-10-06
4554,23,0,12307.1333333,2015-10-07
4616,47,1,12585.7833333,2015-10-08
4953,28,0,13916.9,2015-10-09
4642,23,0,12442.7,2015-10-10
5053,36,0,13210.3166667,2015-10-11
6562,32,0,16823.5166667,2015-10-12
6404,41,2,16372.7166667,2015-10-13
5145,33,0,14161.4666667,2015-10-14
4798,36,2,13207.9666667,2015-10-15
4352,25,1,12472.2166667,2015-10-16
4334,15,0,11364.4166667,2015-10-17
4572,19,0,11820.6,2015-10-18
4292,19,0,11769.8833333,2015-10-19
4158,26,0,11591.8,2015-10-20
4313,24,0,11961.0333333,2015-10-21
3567,19,1,9983.35,2015-10-22
3867,22,0,10769.6333333,2015-10-23
4018,21,0,10712.4666667,2015-10-24
4413,41,0,11422.7666667,2015-10-25
4691,15,1,12535.6666667,2015-10-26
4339,14,3,11609.9,2015-10-27
4947,34,2,12726.5333333,2015-10-28
4876,17,0,13507.5333333,2015-10-29
4568,19,1,12662.1333333,2015-10-30
4482,11,0,12389.3666667,2015-10-31
4567,19,0,12044.6666667,2015-11-01
4973,23,0,13532.9,2015-11-02
4760,25,1,12986.1333333,2015-11-03
4619,22,0,13125.0166667,2015-11-04
4791,22,0,13209.9333333,2015-11-05
5012,24,0,14005.6,2015-11-06
6159,38,0,16623.0833333,2015-11-07
6696,26,0,17250.4166667,2015-11-08
4247,20,0,11852.5666667,2015-11-09
3894,30,1,11227.6666667,2015-11-10
4423,19,0,12413.05,2015-11-11
4598,24,0,12825.5833333,2015-11-12
4164,19,0,12073.5333333,2015-11-13
3976,16,1,10946.6166667,2015-11-14
3984,18,0,10960.55,2015-11-15
4273,27,0,12042.1333333,2015-11-16
3941,20,0,11134.1833333,2015-11-17
3957,16,1,11555.4833333,2015-11-18
4036,15,0,11204.75,2015-11-19
4038,18,0,11466.75,2015-11-20
4097,24,0,11080.7666667,2015-11-21
3907,18,0,10710.55,2015-11-22
4167,21,0,11815.55,2015-11-23
4224,25,0,12086.1333333,2015-11-24
4251,23,1,12514.9,2015-11-25
3864,18,0,11230.8333333,2015-11-26
3849,18,0,10862.3166667,2015-11-27
3768,23,1,10652.0333333,2015-11-28
3930,23,0,10797.55,2015-11-29
3752,18,0,10485.1833333,2015-11-30
3745,18,0,10523.7666667,2015-12-01
3505,14,0,9965.16666667,2015-12-02
3680,17,2,10353.4833333,2015-12-03
3692,17,1,10471.5333333,2015-12-04
3329,22,0,9042.83333333,2015-12-05
3233,13,0,8918.01666667,2015-12-06
3479,13,0,9711.2,2015-12-07
3328,14,1,9117.06666667,2015-12-08
3289,14,0,9110.66666667,2015-12-09
3203,16,1,8996.86666667,2015-12-10
3482,11,0,9738.83333333,2015-12-11
3401,16,0,9377.03333333,2015-12-12
3251,18,0,8959.95,2015-12-13
3397,22,0,9327.15,2015-12-14
3344,12,0,9438.01666667,2015-12-15
3532,15,0,9572.63333333,2015-12-16
3568,11,0,9814.41666667,2015-12-17
3311,10,0,9525.63333333,2015-12-18
3199,14,0,8582.08333333,2015-12-19
3094,14,0,8260.2,2015-12-20
3408,15,0,9033.43333333,2015-12-21
3358,17,0,9295.58333333,2015-12-22
3569,13,0,10231.4666667,2015-12-23
3303,7,1,9193.41666667,2015-12-24
2676,7,0,7402.1,2015-12-25
3202,11,0,8770.0,2015-12-26
3198,15,0,8350.65,2015-12-27
3300,8,0,9065.6,2015-12-28
3240,16,0,8826.35,2015-12-29
3292,17,0,9020.75,2015-12-30
