dailyViewcount,numShare,numSubscriber,watchTime,date
111671,457,77,270359.683333,2014-08-12
91422,347,92,248355.616667,2014-08-13
86789,268,68,246411.45,2014-08-14
72153,201,43,206482.733333,2014-08-15
65502,166,38,185596.633333,2014-08-16
70640,197,47,198100.9,2014-08-17
81781,237,51,237866.4,2014-08-18
82371,199,44,234054.433333,2014-08-19
82459,214,63,236780.05,2014-08-20
86743,183,40,253772.05,2014-08-21
84915,143,43,250982.066667,2014-08-22
84481,161,54,248079.633333,2014-08-23
79530,128,44,229999.616667,2014-08-24
76493,142,51,232360.583333,2014-08-25
90230,144,52,264971.266667,2014-08-26
85924,138,48,262915.15,2014-08-27
82822,124,49,252889.616667,2014-08-28
78314,113,46,243291.6,2014-08-29
79466,116,41,238382.0,2014-08-30
76629,160,39,229587.0,2014-08-31
74933,152,25,226100.4,2014-09-01
72518,169,30,224087.316667,2014-09-02
61103,100,19,193576.266667,2014-09-03
57356,68,24,183753.166667,2014-09-04
55404,70,20,178665.7,2014-09-05
54656,72,21,172621.416667,2014-09-06
50291,105,31,163896.85,2014-09-07
49171,77,23,162222.1,2014-09-08
48796,68,21,156160.35,2014-09-09
47337,78,17,154425.55,2014-09-10
82502,247,65,224390.95,2014-09-11
63943,152,28,196430.75,2014-09-12
54583,117,24,169164.216667,2014-09-13
48567,78,25,154061.866667,2014-09-14
45810,75,20,151048.9,2014-09-15
45205,66,12,147853.233333,2014-09-16
43880,57,21,143108.95,2014-09-17
46471,63,24,145095.216667,2014-09-18
49902,69,14,155993.05,2014-09-19
52478,60,22,161415.716667,2014-09-20
45931,42,21,142227.15,2014-09-21
45123,56,19,144817.35,2014-09-22
44583,46,16,140715.8,2014-09-23
44235,42,21,142351.3,2014-09-24
45535,46,12,147412.483333,2014-09-25
50027,62,24,159626.65,2014-09-26
50019,47,17,159374.583333,2014-09-27
43182,40,18,139833.3,2014-09-28
43756,44,15,145254.933333,2014-09-29
44371,50,17,143556.116667,2014-09-30
45693,45,23,150005.0,2014-10-01
45866,45,16,148269.616667,2014-10-02
48772,51,13,153938.233333,2014-10-03
48845,54,15,151554.216667,2014-10-04
44965,36,16,140742.8,2014-10-05
44698,35,11,145909.05,2014-10-06
44988,40,22,146430.266667,2014-10-07
44007,32,21,142857.55,2014-10-08
45659,52,28,146241.866667,2014-10-09
49827,38,18,157313.65,2014-10-10
48765,50,10,152038.183333,2014-10-11
42305,45,18,132684.433333,2014-10-12
41831,25,16,134946.483333,2014-10-13
42074,41,18,135532.883333,2014-10-14
42015,39,26,137228.8,2014-10-15
42943,40,11,138819.583333,2014-10-16
47278,51,14,149795.266667,2014-10-17
47081,35,15,144938.166667,2014-10-18
42958,39,12,133673.85,2014-10-19
42582,34,10,136867.416667,2014-10-20
43006,36,12,137050.566667,2014-10-21
42588,27,19,135189.666667,2014-10-22
44694,27,14,140893.9,2014-10-23
48106,38,14,150783.783333,2014-10-24
46101,38,12,143783.633333,2014-10-25
40835,44,7,127497.183333,2014-10-26
41110,38,15,133835.15,2014-10-27
39718,30,9,127226.55,2014-10-28
43144,43,19,136674.083333,2014-10-29
42987,38,15,136396.1,2014-10-30
46408,31,10,145847.7,2014-10-31
45109,32,9,138633.183333,2014-11-01
40802,23,17,126184.166667,2014-11-02
40308,45,13,129395.5,2014-11-03
40161,25,10,126988.85,2014-11-04
41113,27,15,131009.516667,2014-11-05
42315,28,13,135315.716667,2014-11-06
46540,40,7,147953.15,2014-11-07
46467,39,14,142432.733333,2014-11-08
39967,26,18,126084.6,2014-11-09
41648,33,19,134349.2,2014-11-10
41292,37,15,129735.55,2014-11-11
39588,29,13,126625.283333,2014-11-12
40659,31,17,127243.6,2014-11-13
45210,30,16,141260.45,2014-11-14
46552,31,14,142759.3,2014-11-15
39302,37,15,122007.183333,2014-11-16
39235,39,22,126832.25,2014-11-17
39257,48,14,125165.933333,2014-11-18
40281,40,11,129656.45,2014-11-19
41317,31,15,132720.633333,2014-11-20
46963,34,23,148588.233333,2014-11-21
47359,45,25,145743.95,2014-11-22
41263,33,16,129586.1,2014-11-23
41451,36,22,132550.683333,2014-11-24
41239,34,10,131940.383333,2014-11-25
42732,31,18,134918.233333,2014-11-26
40158,30,15,124826.566667,2014-11-27
42168,35,10,131892.2,2014-11-28
42462,35,13,132217.233333,2014-11-29
37277,25,12,119105.566667,2014-11-30
37467,40,13,122441.116667,2014-12-01
37614,21,14,123322.766667,2014-12-02
38989,25,13,127201.25,2014-12-03
40741,55,13,130348.233333,2014-12-04
45781,34,19,145687.15,2014-12-05
45940,22,15,144888.733333,2014-12-06
39364,27,11,125631.083333,2014-12-07
40894,24,12,134383.05,2014-12-08
40689,37,14,132093.466667,2014-12-09
40678,40,13,131265.316667,2014-12-10
41430,45,15,132139.533333,2014-12-11
46278,27,17,147345.016667,2014-12-12
46252,23,13,143276.316667,2014-12-13
39951,35,16,125133.25,2014-12-14
39732,28,9,128065.25,2014-12-15
39239,30,15,125278.4,2014-12-16
39271,21,13,126444.916667,2014-12-17
39857,38,19,125957.366667,2014-12-18
44111,19,13,138573.65,2014-12-19
43535,29,16,135802.316667,2014-12-20
38935,31,14,121661.616667,2014-12-21
40788,30,8,127023.666667,2014-12-22
40993,30,9,129250.15,2014-12-23
40215,28,8,126019.083333,2014-12-24
37626,22,7,114126.866667,2014-12-25
39352,24,14,121423.266667,2014-12-26
40688,29,10,125370.083333,2014-12-27
37453,36,8,114637.5,2014-12-28
39261,25,15,122050.45,2014-12-29
41036,34,7,125302.583333,2014-12-30
47869,28,16,146118.066667,2014-12-31
34735,36,16,106437.166667,2015-01-01
37750,15,13,117571.183333,2015-01-02
37129,16,14,114533.05,2015-01-03
34405,21,15,104405.95,2015-01-04
35914,27,11,112650.133333,2015-01-05
35331,27,13,112556.45,2015-01-06
34577,33,11,108835.5,2015-01-07
36130,22,12,114274.116667,2015-01-08
40966,28,14,127526.833333,2015-01-09
39939,27,17,122845.6,2015-01-10
34342,30,11,106093.166667,2015-01-11
33975,23,7,108128.516667,2015-01-12
34397,32,8,109322.75,2015-01-13
35043,4,4,112597.383333,2015-01-14
37809,26,11,119568.866667,2015-01-15
41621,31,11,129828.5,2015-01-16
41939,22,12,129819.5,2015-01-17
37148,24,13,114065.283333,2015-01-18
36808,34,17,116136.35,2015-01-19
37084,41,13,117440.65,2015-01-20
35987,29,10,113592.966667,2015-01-21
36897,37,20,115536.45,2015-01-22
41889,78,13,130658.966667,2015-01-23
41679,40,10,127167.85,2015-01-24
35619,66,11,109166.716667,2015-01-25
35928,49,16,112936.766667,2015-01-26
34822,57,8,108196.55,2015-01-27
36093,68,12,111637.833333,2015-01-28
37160,54,11,114558.416667,2015-01-29
42710,61,17,132407.666667,2015-01-30
41255,48,17,125205.15,2015-01-31
33982,59,15,104776.3,2015-02-01
33570,58,9,105864.766667,2015-02-02
34901,43,18,109663.933333,2015-02-03
35107,50,11,108086.9,2015-02-04
36706,53,10,113533.5,2015-02-05
40867,42,17,125952.45,2015-02-06
41504,56,13,126175.083333,2015-02-07
35204,54,11,108337.6,2015-02-08
34883,47,9,108561.333333,2015-02-09
34612,41,15,108093.083333,2015-02-10
34967,44,10,109794.233333,2015-02-11
36186,43,10,113184.6,2015-02-12
41606,46,13,127412.733333,2015-02-13
39586,44,12,120617.3,2015-02-14
34870,43,14,106697.3,2015-02-15
34679,44,13,106493.283333,2015-02-16
33227,46,10,102993.2,2015-02-17
34549,58,11,107827.616667,2015-02-18
34822,55,17,107978.0,2015-02-19
38399,39,7,117727.066667,2015-02-20
38635,47,6,116515.116667,2015-02-21
33240,39,11,102609.45,2015-02-22
32707,44,11,101212.866667,2015-02-23
32785,49,12,101624.05,2015-02-24
33526,44,8,102869.566667,2015-02-25
33884,32,10,104282.066667,2015-02-26
38506,46,17,117669.7,2015-02-27
38498,40,15,116200.783333,2015-02-28
33029,45,13,100491.05,2015-03-01
33750,52,10,104484.65,2015-03-02
32687,47,7,101783.316667,2015-03-03
32468,97,11,100968.85,2015-03-04
33425,103,12,103605.983333,2015-03-05
38014,81,8,115146.966667,2015-03-06
37401,80,13,112520.916667,2015-03-07
30426,77,8,93777.3166667,2015-03-08
31758,99,4,97466.8666667,2015-03-09
30641,64,12,93897.65,2015-03-10
29501,52,11,91551.0166667,2015-03-11
30283,44,4,94398.25,2015-03-12
34097,57,9,104182.55,2015-03-13
34088,73,4,102685.916667,2015-03-14
30355,66,8,91006.1333333,2015-03-15
30498,63,12,93326.3166667,2015-03-16
30687,59,10,93901.5666667,2015-03-17
31077,58,7,93569.7166667,2015-03-18
31341,63,14,94288.8166667,2015-03-19
34690,69,11,103299.133333,2015-03-20
35837,76,13,108041.066667,2015-03-21
30419,57,15,90719.0166667,2015-03-22
30382,74,3,93308.5666667,2015-03-23
30177,56,11,91034.4333333,2015-03-24
30702,65,9,92551.2,2015-03-25
31145,58,9,93968.15,2015-03-26
35082,42,16,105769.283333,2015-03-27
35346,43,10,104078.233333,2015-03-28
30326,51,13,89231.9,2015-03-29
29947,53,10,89010.6333333,2015-03-30
29808,51,13,89040.85,2015-03-31
30710,52,8,92096.5333333,2015-04-01
32457,53,10,96096.9833333,2015-04-02
34434,57,6,101236.633333,2015-04-03
33192,46,7,96788.9833333,2015-04-04
31222,61,10,90935.0,2015-04-05
31500,64,14,91962.9833333,2015-04-06
31578,51,7,93747.9666667,2015-04-07
32089,51,13,94422.4,2015-04-08
33376,80,10,97374.7,2015-04-09
36242,51,10,107494.75,2015-04-10
36021,84,8,103720.566667,2015-04-11
32396,79,8,92975.0833333,2015-04-12
32487,71,9,94623.8,2015-04-13
31748,72,10,92507.7166667,2015-04-14
31449,66,11,92479.45,2015-04-15
33435,64,7,98488.0833333,2015-04-16
37116,74,11,108449.316667,2015-04-17
37257,61,9,106048.133333,2015-04-18
33264,75,9,94966.4,2015-04-19
42389,159,12,125311.9,2015-04-20
32862,67,10,96472.7,2015-04-21
32089,61,8,94326.2,2015-04-22
33487,75,15,97419.3,2015-04-23
37407,64,4,108026.633333,2015-04-24
38142,56,11,108087.75,2015-04-25
33334,73,12,94689.3333333,2015-04-26
32721,77,16,96891.5833333,2015-04-27
32607,57,10,97168.0666667,2015-04-28
32999,69,10,97201.5166667,2015-04-29
33862,77,7,98976.6166667,2015-04-30
37093,64,12,107747.683333,2015-05-01
35522,71,10,102946.4,2015-05-02
32377,71,5,93792.2833333,2015-05-03
31662,55,11,92755.5666667,2015-05-04
31275,55,6,92661.2666667,2015-05-05
30863,43,14,91444.3833333,2015-05-06
31770,72,10,94128.2333333,2015-05-07
34613,58,14,100840.716667,2015-05-08
33608,73,5,96421.7166667,2015-05-09
29752,64,6,86235.0166667,2015-05-10
30340,61,4,88418.4333333,2015-05-11
30230,87,7,87972.3166667,2015-05-12
31433,83,10,92575.5,2015-05-13
31087,91,8,90852.5833333,2015-05-14
34148,102,6,99715.4833333,2015-05-15
33955,105,4,97778.1333333,2015-05-16
30733,102,3,89843.5166667,2015-05-17
29636,99,9,87389.4833333,2015-05-18
29297,101,6,87033.15,2015-05-19
29483,85,9,87015.8166667,2015-05-20
30248,87,6,89381.2333333,2015-05-21
32747,78,6,96079.5666667,2015-05-22
31888,104,6,92068.5666667,2015-05-23
29206,91,8,84205.3166667,2015-05-24
28471,109,9,82203.8166667,2015-05-25
28595,121,16,84155.0333333,2015-05-26
28443,100,15,82803.7333333,2015-05-27
28899,104,6,84703.75,2015-05-28
31160,106,8,90262.45,2015-05-29
30758,87,9,88954.1166667,2015-05-30
26967,95,9,78500.6833333,2015-05-31
26875,93,9,79670.6333333,2015-06-01
27541,79,6,81305.1,2015-06-02
28143,82,6,82747.0166667,2015-06-03
27957,96,11,81609.8,2015-06-04
29997,99,8,87879.95,2015-06-05
29834,88,3,86441.6,2015-06-06
27068,88,6,78231.6333333,2015-06-07
26355,85,6,77558.1833333,2015-06-08
26347,103,4,77204.5833333,2015-06-09
26939,124,7,79391.0,2015-06-10
27330,113,8,80367.05,2015-06-11
29598,89,5,86406.25,2015-06-12
29972,120,5,86727.5333333,2015-06-13
28054,115,10,82477.4,2015-06-14
27189,127,11,79692.2333333,2015-06-15
26867,110,9,79057.7833333,2015-06-16
27383,122,8,82134.15,2015-06-17
27135,142,3,80928.1,2015-06-18
29068,102,10,86284.4833333,2015-06-19
28451,110,5,83101.1833333,2015-06-20
24566,130,5,72084.0166667,2015-06-21
25737,112,7,76217.1,2015-06-22
25968,117,5,75170.5666667,2015-06-23
25968,107,6,75631.8166667,2015-06-24
26247,97,6,77281.0,2015-06-25
27400,100,6,80936.2166667,2015-06-26
27345,99,8,79298.3333333,2015-06-27
25354,111,10,72816.9833333,2015-06-28
25577,90,3,75550.4833333,2015-06-29
26066,133,8,76252.0,2015-06-30
26397,90,17,77909.6666667,2015-07-01
27614,124,5,81326.2666667,2015-07-02
28443,109,7,83272.25,2015-07-03
27403,99,7,79422.8666667,2015-07-04
24530,104,5,70557.5833333,2015-07-05
25655,118,10,75231.35,2015-07-06
26293,121,5,78307.9,2015-07-07
