dailyViewcount,numShare,numSubscriber,watchTime,date
556493,8912,608,1387459.46667,2017-04-25
849242,7904,697,1897123.15,2017-04-26
878703,8481,591,1851683.48333,2017-04-27
901363,7133,895,1831365.53333,2017-04-28
1232694,6064,927,2484311.08333,2017-04-29
1015374,4595,654,2023770.33333,2017-04-30
1439354,4581,726,2799233.66667,2017-05-01
1006095,3562,515,2015421.15,2017-05-02
687822,2585,279,1469752.05,2017-05-03
634783,2363,251,1370890.45,2017-05-04
704973,2180,227,1552592.71667,2017-05-05
701683,1936,174,1551580.51667,2017-05-06
503939,1677,175,1131376.05,2017-05-07
481205,1616,137,1102117.56667,2017-05-08
476136,1447,125,1089890.13333,2017-05-09
442981,1359,122,1027763.01667,2017-05-10
399944,1261,109,931080.066667,2017-05-11
387575,1227,94,908791.583333,2017-05-12
336274,945,94,796498.216667,2017-05-13
259803,893,67,629480.383333,2017-05-14
240722,831,68,594457.7,2017-05-15
245905,789,74,611785.033333,2017-05-16
244785,802,64,617412.633333,2017-05-17
242058,814,55,610238.933333,2017-05-18
254755,770,54,645790.066667,2017-05-19
222304,644,47,572928.933333,2017-05-20
165486,647,32,426417.7,2017-05-21
152147,557,43,397973.783333,2017-05-22
