dailyViewcount,numShare,numSubscriber,watchTime,date
50596,820,18,143449.933333,2017-01-13
39655,423,7,122551.25,2017-01-14
40371,431,7,111651.366667,2017-01-15
54203,496,6,154745.65,2017-01-16
55965,475,0,164386.916667,2017-01-17
60362,456,0,177137.25,2017-01-18
58343,408,0,172774.85,2017-01-19
61297,406,0,179047.85,2017-01-20
64769,380,0,185819.566667,2017-01-21
59915,382,0,173008.366667,2017-01-22
63315,423,0,190506.5,2017-01-23
62316,387,0,188537.883333,2017-01-24
62841,344,0,188866.716667,2017-01-25
61692,387,0,189170.916667,2017-01-26
67070,326,0,203097.916667,2017-01-27
66514,321,9,198456.083333,2017-01-28
62200,340,8,186536.233333,2017-01-29
66042,294,13,203955.5,2017-01-30
65189,364,9,202485.45,2017-01-31
69267,362,15,212881.9,2017-02-01
71071,373,16,218438.716667,2017-02-02
74364,293,18,225395.65,2017-02-03
77755,351,11,228670.316667,2017-02-04
67127,299,11,199194.766667,2017-02-05
69270,362,9,211948.7,2017-02-06
71054,339,16,214884.833333,2017-02-07
72472,318,12,220350.066667,2017-02-08
76061,383,11,227626.433333,2017-02-09
78972,288,14,236781.916667,2017-02-10
81674,347,13,240028.016667,2017-02-11
67479,291,10,200545.8,2017-02-12
68514,327,15,208923.183333,2017-02-13
69299,264,18,211584.133333,2017-02-14
69309,298,11,208778.866667,2017-02-15
74092,373,7,224176.333333,2017-02-16
79163,299,8,235031.683333,2017-02-17
79139,319,6,231039.866667,2017-02-18
71762,312,13,208274.2,2017-02-19
74068,340,11,217926.9,2017-02-20
73254,375,15,218905.483333,2017-02-21
77085,391,18,228576.183333,2017-02-22
80326,329,15,239830.533333,2017-02-23
85198,357,14,251894.25,2017-02-24
85255,392,7,250049.883333,2017-02-25
78576,443,11,231300.833333,2017-02-26
74794,374,16,226378.366667,2017-02-27
76659,349,5,231112.85,2017-02-28
77222,331,8,231200.466667,2017-03-01
81330,340,7,242458.266667,2017-03-02
88490,317,8,260975.233333,2017-03-03
90607,385,7,263553.416667,2017-03-04
80106,330,9,234755.866667,2017-03-05
78940,333,10,235403.116667,2017-03-06
80237,353,14,239584.25,2017-03-07
81162,336,17,243659.566667,2017-03-08
82242,336,10,245130.133333,2017-03-09
86425,315,8,255845.366667,2017-03-10
87859,355,7,252699.716667,2017-03-11
78002,373,11,228276.866667,2017-03-12
82413,366,14,243683.95,2017-03-13
82963,359,15,243014.5,2017-03-14
83891,335,11,246008.933333,2017-03-15
86046,409,20,251262.4,2017-03-16
91543,345,11,267064.233333,2017-03-17
91345,360,11,262256.666667,2017-03-18
81550,386,10,234695.816667,2017-03-19
79493,302,19,234462.383333,2017-03-20
79622,324,10,236186.5,2017-03-21
81352,314,12,238626.65,2017-03-22
85195,347,15,249271.383333,2017-03-23
93521,296,8,271073.383333,2017-03-24
92457,299,8,265547.316667,2017-03-25
81403,335,9,236633.483333,2017-03-26
82289,344,16,241985.583333,2017-03-27
82815,338,15,241200.183333,2017-03-28
87188,334,12,254877.483333,2017-03-29
90560,355,10,264609.3,2017-03-30
96644,304,14,274033.6,2017-03-31
99484,346,7,280557.1,2017-04-01
89053,424,14,251054.333333,2017-04-02
85474,371,12,244234.8,2017-04-03
88540,328,12,254072.466667,2017-04-04
89065,320,13,250156.45,2017-04-05
95836,358,11,265242.25,2017-04-06
104731,335,12,286064.75,2017-04-07
109719,348,13,299264.533333,2017-04-08
89234,359,4,243123.516667,2017-04-09
88538,376,10,245359.033333,2017-04-10
88257,311,17,243889.316667,2017-04-11
88221,319,16,243547.966667,2017-04-12
91698,323,11,252186.1,2017-04-13
99691,315,10,270598.166667,2017-04-14
95987,345,9,256967.833333,2017-04-15
86729,319,10,233481.016667,2017-04-16
86134,329,16,232922.35,2017-04-17
86686,413,20,236605.266667,2017-04-18
85122,297,10,231382.316667,2017-04-19
88864,324,14,242263.233333,2017-04-20
97207,356,14,261825.783333,2017-04-21
99976,351,8,267960.883333,2017-04-22
87371,359,14,238798.966667,2017-04-23
82772,339,14,229127.616667,2017-04-24
83019,352,18,232059.75,2017-04-25
83354,312,19,230566.533333,2017-04-26
85561,337,24,233190.5,2017-04-27
90944,316,17,248359.75,2017-04-28
92611,332,14,252217.516667,2017-04-29
80369,359,8,220554.966667,2017-04-30
75923,289,14,211328.166667,2017-05-01
76442,317,15,214355.583333,2017-05-02
77766,285,13,216957.416667,2017-05-03
80396,351,26,225103.616667,2017-05-04
87775,321,16,243031.283333,2017-05-05
89419,315,6,245497.95,2017-05-06
76754,336,4,210919.166667,2017-05-07
75033,333,15,210648.316667,2017-05-08
74570,314,13,210228.833333,2017-05-09
74958,294,10,211238.466667,2017-05-10
75117,297,14,212624.1,2017-05-11
81882,272,20,229256.666667,2017-05-12
83861,315,16,234161.383333,2017-05-13
77597,244,7,217808.2,2017-05-14
70389,279,4,201647.35,2017-05-15
72168,252,12,205405.25,2017-05-16
71227,290,6,200243.733333,2017-05-17
71597,302,12,199994.1,2017-05-18
77412,259,17,212900.683333,2017-05-19
79857,311,11,217382.833333,2017-05-20
66470,338,12,184013.25,2017-05-21
73376,313,17,200453.85,2017-05-22
