dailyViewcount,numShare,numSubscriber,watchTime,date
64088,716,58,236491.916667,2015-06-03
59596,536,49,218534.566667,2015-06-04
33867,332,23,120428.383333,2015-06-05
30031,294,30,104252.766667,2015-06-06
25808,213,20,89957.0166667,2015-06-07
22720,210,18,78628.9333333,2015-06-08
23141,216,19,78087.85,2015-06-09
22690,187,14,77657.7333333,2015-06-10
22597,204,6,77776.6,2015-06-11
26237,282,17,88123.5333333,2015-06-12
30732,240,20,98367.9833333,2015-06-13
29386,207,11,89046.45,2015-06-14
22682,158,11,75107.4166667,2015-06-15
20354,159,14,69972.1,2015-06-16
20459,192,12,70225.7666667,2015-06-17
20648,186,9,69977.5666667,2015-06-18
22985,179,14,77870.1,2015-06-19
24103,193,16,82560.45,2015-06-20
20629,131,4,70020.1833333,2015-06-21
20714,165,9,71143.6,2015-06-22
21181,178,12,72864.7,2015-06-23
23990,180,10,80082.8333333,2015-06-24
24064,169,18,80076.6333333,2015-06-25
22558,189,4,75601.3166667,2015-06-26
23339,181,8,80143.2666667,2015-06-27
20744,142,13,70439.0,2015-06-28
20077,179,12,68406.9166667,2015-06-29
20407,177,10,69587.8,2015-06-30
20393,126,13,68769.9,2015-07-01
21432,171,10,71608.1666667,2015-07-02
22849,155,6,77499.1333333,2015-07-03
23355,133,16,77921.9166667,2015-07-04
22904,163,5,75184.1166667,2015-07-05
21598,134,12,71609.1833333,2015-07-06
19968,147,8,65744.8,2015-07-07
20020,157,14,66186.7,2015-07-08
21250,196,12,70935.5666667,2015-07-09
22762,158,12,75810.7333333,2015-07-10
24538,164,7,81059.0666667,2015-07-11
22283,192,7,74625.45,2015-07-12
23214,188,6,79046.2166667,2015-07-13
22693,169,11,76112.65,2015-07-14
21376,168,14,72614.45,2015-07-15
23766,182,9,80924.7666667,2015-07-16
24154,187,13,81773.1166667,2015-07-17
26209,172,14,89170.9833333,2015-07-18
23758,180,8,80653.1666667,2015-07-19
23320,177,9,78541.8166667,2015-07-20
23455,206,16,80767.1166667,2015-07-21
23741,160,12,80091.65,2015-07-22
24215,168,6,80419.25,2015-07-23
26397,206,11,88430.6666667,2015-07-24
26667,138,12,87846.2333333,2015-07-25
23697,143,9,77459.9,2015-07-26
23535,202,9,78427.1,2015-07-27
24974,168,4,79994.4,2015-07-28
24728,175,9,80331.85,2015-07-29
25603,149,4,84139.1333333,2015-07-30
26449,199,5,86439.0833333,2015-07-31
26415,186,8,87141.0166667,2015-08-01
23657,189,4,78779.4833333,2015-08-02
23966,188,18,81491.25,2015-08-03
24733,203,16,82284.7833333,2015-08-04
23981,145,16,80581.7,2015-08-05
24381,179,8,82302.7833333,2015-08-06
25716,177,11,85131.6333333,2015-08-07
26167,173,3,85909.8,2015-08-08
22992,129,12,76424.65,2015-08-09
22615,157,15,75762.85,2015-08-10
22397,135,14,75935.2333333,2015-08-11
22277,150,3,75110.3833333,2015-08-12
22253,171,9,74770.9833333,2015-08-13
24282,178,8,81315.6,2015-08-14
25849,157,3,85542.0833333,2015-08-15
22007,157,14,72187.9166667,2015-08-16
22409,183,6,75064.8333333,2015-08-17
23758,169,8,79524.3666667,2015-08-18
23801,177,14,79691.0,2015-08-19
25107,210,10,85903.9166667,2015-08-20
27377,178,8,92317.95,2015-08-21
28392,199,9,96175.7666667,2015-08-22
24037,166,7,80105.2,2015-08-23
23603,158,8,78476.5333333,2015-08-24
24698,187,11,81667.2666667,2015-08-25
24815,200,12,82085.5666667,2015-08-26
24661,176,6,82555.8833333,2015-08-27
27218,202,15,90389.5833333,2015-08-28
28493,196,4,95475.6,2015-08-29
24434,175,7,81811.6833333,2015-08-30
25453,171,9,80191.5833333,2015-08-31
25585,193,9,84250.6,2015-09-01
25014,162,7,82173.6333333,2015-09-02
24014,181,5,80384.1166667,2015-09-03
26671,150,11,88654.1333333,2015-09-04
28958,157,7,97127.95,2015-09-05
26092,206,16,86717.4166667,2015-09-06
24317,182,11,81153.6,2015-09-07
23050,166,10,77150.6333333,2015-09-08
23703,209,3,79130.0666667,2015-09-09
23026,131,4,78109.3,2015-09-10
25544,194,11,85745.4166667,2015-09-11
29350,188,9,97570.5666667,2015-09-12
25095,191,9,83337.85,2015-09-13
22252,174,11,74470.5333333,2015-09-14
21649,166,9,71038.1166667,2015-09-15
21833,152,12,72533.4666667,2015-09-16
22891,147,6,77944.0333333,2015-09-17
25829,187,4,86810.3,2015-09-18
28766,168,6,96674.4,2015-09-19
24139,177,9,80726.3,2015-09-20
21671,157,8,72455.0833333,2015-09-21
21045,151,8,70955.0333333,2015-09-22
21048,138,8,70177.0,2015-09-23
21589,148,5,71991.2333333,2015-09-24
23522,144,6,79190.9666667,2015-09-25
26989,136,6,91517.4333333,2015-09-26
24142,155,3,79760.7666667,2015-09-27
21340,141,6,70614.5333333,2015-09-28
21359,137,13,69637.2833333,2015-09-29
21422,150,8,70222.9666667,2015-09-30
21527,151,8,70641.0666667,2015-10-01
24068,145,8,79100.7166667,2015-10-02
26997,159,8,88910.8,2015-10-03
22038,143,7,71870.5166667,2015-10-04
19211,143,11,63230.0333333,2015-10-05
20164,121,10,67132.5,2015-10-06
20761,129,6,67912.8833333,2015-10-07
20798,125,9,68945.1,2015-10-08
24116,116,10,79281.8333333,2015-10-09
28478,149,8,93813.0666667,2015-10-10
23096,130,6,76088.4833333,2015-10-11
20089,92,4,65637.5666667,2015-10-12
19830,112,7,64021.5333333,2015-10-13
19813,109,10,64439.0666667,2015-10-14
21146,114,8,69154.4333333,2015-10-15
23881,130,6,78072.05,2015-10-16
28526,144,10,94217.0833333,2015-10-17
23396,138,2,76273.0333333,2015-10-18
19597,117,6,65334.4666667,2015-10-19
20143,108,6,66608.3166667,2015-10-20
20021,119,9,66097.9833333,2015-10-21
21404,162,7,72317.25,2015-10-22
25637,139,9,85519.6,2015-10-23
28957,164,10,97559.1,2015-10-24
23564,139,6,77569.2333333,2015-10-25
20034,118,7,66284.0666667,2015-10-26
20434,119,9,67866.5166667,2015-10-27
21046,88,7,69045.4,2015-10-28
21754,126,5,71825.2666667,2015-10-29
27960,159,16,91765.3333333,2015-10-30
32362,114,9,108495.4,2015-10-31
24194,143,8,79894.7833333,2015-11-01
19748,122,3,66949.9,2015-11-02
19879,127,4,66434.75,2015-11-03
20041,110,7,66484.4166667,2015-11-04
20499,105,5,67309.95,2015-11-05
23581,118,14,78658.95,2015-11-06
28272,98,4,93903.2333333,2015-11-07
21817,132,2,72445.0833333,2015-11-08
18526,106,6,61075.3833333,2015-11-09
20747,104,5,69656.6,2015-11-10
22084,134,6,73754.2833333,2015-11-11
21038,109,7,69688.25,2015-11-12
24144,138,3,80912.6,2015-11-13
27517,153,6,91458.0833333,2015-11-14
22522,144,4,75099.2666667,2015-11-15
18977,143,7,62667.6166667,2015-11-16
19985,116,8,66046.2166667,2015-11-17
20070,120,4,66560.9666667,2015-11-18
20814,108,7,68655.65,2015-11-19
23653,144,6,78834.3333333,2015-11-20
27353,114,11,90056.5833333,2015-11-21
22413,138,8,73286.5166667,2015-11-22
19096,109,10,63485.8666667,2015-11-23
19901,117,6,65354.9666667,2015-11-24
21633,103,7,70835.35,2015-11-25
28280,146,10,95045.6166667,2015-11-26
25446,133,8,83617.7833333,2015-11-27
28711,155,5,94801.8,2015-11-28
23163,167,8,75192.9333333,2015-11-29
19865,135,5,64100.8333333,2015-11-30
20856,129,9,67664.4,2015-12-01
21060,139,4,68326.2666667,2015-12-02
21811,119,13,71030.4,2015-12-03
24771,126,5,80577.8166667,2015-12-04
28515,122,14,93431.7333333,2015-12-05
24034,160,5,78293.2,2015-12-06
20222,119,7,65939.3333333,2015-12-07
20954,107,5,68069.5,2015-12-08
20433,110,4,66488.05,2015-12-09
21428,143,5,69551.75,2015-12-10
24650,173,4,79477.4333333,2015-12-11
31168,112,7,102324.816667,2015-12-12
26387,122,3,86699.95,2015-12-13
22002,125,6,71280.3166667,2015-12-14
22786,117,8,73877.1333333,2015-12-15
22871,105,9,74747.7833333,2015-12-16
23152,130,7,76745.8,2015-12-17
26549,108,6,86320.7333333,2015-12-18
30388,148,8,99669.9666667,2015-12-19
26229,132,4,85993.4333333,2015-12-20
25636,141,6,83994.25,2015-12-21
28411,175,2,94371.0166667,2015-12-22
30262,146,6,100469.55,2015-12-23
41871,197,9,143050.0,2015-12-24
50401,169,11,173585.116667,2015-12-25
32560,153,7,107450.616667,2015-12-26
28526,173,8,92412.1833333,2015-12-27
27731,155,8,88528.8333333,2015-12-28
28665,161,8,92225.4666667,2015-12-29
29756,166,7,97006.35,2015-12-30
45522,222,10,152835.083333,2015-12-31
40657,263,6,136697.85,2016-01-01
34170,216,3,111176.533333,2016-01-02
26849,172,9,85476.7,2016-01-03
24339,133,9,76757.6,2016-01-04
24252,126,2,76458.4333333,2016-01-05
24906,133,7,80008.2,2016-01-06
25098,128,11,80071.8333333,2016-01-07
28752,175,7,92393.8,2016-01-08
32906,148,7,106485.1,2016-01-09
27761,149,6,88936.0166667,2016-01-10
23553,126,5,74942.5833333,2016-01-11
24294,135,9,77181.8333333,2016-01-12
24434,119,7,78350.8,2016-01-13
26746,130,6,85734.75,2016-01-14
32070,169,7,104383.0,2016-01-15
38209,132,6,123415.283333,2016-01-16
30694,151,10,97854.0666667,2016-01-17
27274,134,8,88244.75,2016-01-18
26043,136,5,84007.1666667,2016-01-19
25846,133,9,82985.65,2016-01-20
26391,151,7,83154.45,2016-01-21
30480,156,10,97937.6333333,2016-01-22
33168,134,9,107230.966667,2016-01-23
26861,111,6,85605.55,2016-01-24
23568,137,6,74062.7166667,2016-01-25
24244,119,7,75773.3333333,2016-01-26
24459,156,2,77670.5333333,2016-01-27
23953,117,2,76522.7333333,2016-01-28
27357,106,7,88520.9333333,2016-01-29
31992,128,9,104391.266667,2016-01-30
26160,190,5,84456.9,2016-01-31
21536,106,4,68510.8666667,2016-02-01
21933,79,2,70538.3166667,2016-02-02
21817,99,4,69337.8166667,2016-02-03
22778,105,2,72886.8833333,2016-02-04
26455,110,6,84920.9833333,2016-02-05
31389,151,8,101312.1,2016-02-06
24228,122,5,77556.1833333,2016-02-07
21216,111,2,66714.4833333,2016-02-08
21322,96,2,65785.5666667,2016-02-09
21328,126,3,67103.1666667,2016-02-10
21727,99,4,70534.8166667,2016-02-11
25458,132,3,81383.5666667,2016-02-12
29963,112,3,96236.2333333,2016-02-13
25501,128,6,81849.5,2016-02-14
21594,109,2,67842.8333333,2016-02-15
19909,133,8,62959.8333333,2016-02-16
20391,119,3,64627.5333333,2016-02-17
20986,94,3,66634.9333333,2016-02-18
23351,109,7,74672.4666667,2016-02-19
27104,98,2,87583.05,2016-02-20
21919,99,2,69405.0,2016-02-21
18501,92,2,58283.45,2016-02-22
18742,92,4,59328.2,2016-02-23
19238,154,4,59947.4333333,2016-02-24
20660,122,3,65464.0666667,2016-02-25
23977,112,4,76407.1,2016-02-26
27781,137,11,90309.3833333,2016-02-27
22025,138,3,71397.3666667,2016-02-28
19199,112,6,61694.4166667,2016-02-29
19439,116,4,62470.6833333,2016-03-01
20204,108,5,66039.6833333,2016-03-02
21602,99,7,69774.9,2016-03-03
23918,129,7,79090.7166667,2016-03-04
27234,123,1,89316.6666667,2016-03-05
23551,95,5,78532.0166667,2016-03-06
19462,84,2,63293.4833333,2016-03-07
19336,94,8,61855.4,2016-03-08
18803,100,2,59990.3,2016-03-09
19022,78,3,60909.3666667,2016-03-10
24147,92,7,76165.05,2016-03-11
29891,98,2,96243.2666667,2016-03-12
24711,98,10,79191.6833333,2016-03-13
19804,102,7,63348.6333333,2016-03-14
19165,74,1,61761.5,2016-03-15
19155,83,1,60812.2,2016-03-16
19273,122,5,62682.5333333,2016-03-17
22467,108,4,73209.8666667,2016-03-18
26568,95,3,86930.8833333,2016-03-19
20536,97,5,66399.4833333,2016-03-20
17536,90,4,55181.75,2016-03-21
17008,76,4,52684.1,2016-03-22
17061,77,4,53443.7166667,2016-03-23
18847,103,2,58747.8666667,2016-03-24
21105,90,3,66330.5166667,2016-03-25
23272,86,3,75642.9,2016-03-26
22801,115,2,73798.0333333,2016-03-27
18325,78,4,57960.9166667,2016-03-28
16349,114,4,51731.4333333,2016-03-29
16983,83,4,53458.5166667,2016-03-30
17718,101,1,55905.1,2016-03-31
20027,86,6,63666.7,2016-04-01
22889,106,4,73838.1833333,2016-04-02
18969,82,6,60193.5166667,2016-04-03
15950,101,1,50062.7666667,2016-04-04
16040,65,4,51165.7333333,2016-04-05
