dailyViewcount,numShare,numSubscriber,watchTime,date
6792,72,8,25504.5833333,2015-12-09
6182,38,5,22740.75,2015-12-10
3784,42,2,14256.9833333,2015-12-11
2320,14,1,8204.23333333,2015-12-12
2185,14,2,7828.1,2015-12-13
3478,34,1,12135.4833333,2015-12-14
4466,31,2,15466.1333333,2015-12-15
3434,34,2,13086.4666667,2015-12-16
3862,31,3,13885.45,2015-12-17
4416,20,0,15474.5666667,2015-12-18
4076,32,4,14170.6166667,2015-12-19
4995,22,2,17327.0833333,2015-12-20
7303,41,6,25077.85,2015-12-21
11452,52,12,38173.8,2015-12-22
12389,73,6,41079.0833333,2015-12-23
11991,55,2,39315.0666667,2015-12-24
11332,56,11,37516.5166667,2015-12-25
9456,42,3,29986.5,2015-12-26
9250,53,5,30641.65,2015-12-27
9421,55,7,31575.35,2015-12-28
9330,40,6,31980.8166667,2015-12-29
9933,40,6,34733.9,2015-12-30
11038,26,4,40263.4333333,2015-12-31
9712,34,2,34451.75,2016-01-01
9958,34,3,34503.6166667,2016-01-02
9402,28,3,32627.5833333,2016-01-03
11476,36,5,39409.65,2016-01-04
10389,46,7,34933.1,2016-01-05
10549,38,7,36385.9,2016-01-06
11453,42,7,38688.75,2016-01-07
12139,39,6,41443.75,2016-01-08
11269,35,5,37846.3833333,2016-01-09
9449,42,1,32182.25,2016-01-10
10955,32,2,37695.4833333,2016-01-11
10478,49,4,37001.9333333,2016-01-12
10825,36,3,38896.9,2016-01-13
11415,54,1,40798.2166667,2016-01-14
12929,50,5,45607.9833333,2016-01-15
12195,32,3,41910.3666667,2016-01-16
10055,31,9,35107.4666667,2016-01-17
11375,43,2,40132.8333333,2016-01-18
11781,47,5,40845.2,2016-01-19
12724,49,6,44979.35,2016-01-20
13787,58,11,47846.3166667,2016-01-21
16925,53,5,58186.6333333,2016-01-22
14821,56,6,49756.5833333,2016-01-23
11951,30,6,41259.9833333,2016-01-24
14992,54,4,52353.75,2016-01-25
15392,55,8,52314.6,2016-01-26
14667,55,4,50398.9166667,2016-01-27
15056,49,13,51989.2666667,2016-01-28
15858,44,3,54662.1166667,2016-01-29
14379,34,0,48559.5833333,2016-01-30
12198,32,4,41727.85,2016-01-31
14411,42,7,50155.1833333,2016-02-01
15739,50,5,54774.3666667,2016-02-02
16304,51,1,57152.1833333,2016-02-03
17386,69,4,60842.6333333,2016-02-04
20240,36,3,68931.3,2016-02-05
18718,49,2,63753.85,2016-02-06
15091,30,4,52296.0,2016-02-07
15331,36,2,53470.8,2016-02-08
16000,55,4,56567.0666667,2016-02-09
16633,41,6,57753.95,2016-02-10
16548,54,7,58715.7833333,2016-02-11
18450,59,3,64711.6,2016-02-12
17632,40,7,63065.6,2016-02-13
13838,31,4,51007.6166667,2016-02-14
15030,22,7,53970.35,2016-02-15
14648,50,7,52400.9833333,2016-02-16
14190,44,5,50275.05,2016-02-17
15339,29,4,55360.2666667,2016-02-18
17635,43,3,63402.5,2016-02-19
16865,29,2,60784.7166667,2016-02-20
13885,38,4,50320.3833333,2016-02-21
14055,33,3,51281.35,2016-02-22
14609,39,4,53026.2166667,2016-02-23
15858,32,10,57539.1333333,2016-02-24
17377,42,4,62528.4833333,2016-02-25
19812,57,7,71453.45,2016-02-26
19043,42,2,69133.3833333,2016-02-27
16393,38,5,58776.7833333,2016-02-28
18058,31,6,65886.5333333,2016-02-29
17124,48,1,61286.4166667,2016-03-01
17420,34,1,63492.4,2016-03-02
19161,69,2,69279.1166667,2016-03-03
22137,50,4,79430.55,2016-03-04
19260,52,2,67813.4,2016-03-05
15729,47,6,55993.6833333,2016-03-06
16359,38,4,58829.7333333,2016-03-07
17456,27,4,62539.85,2016-03-08
17283,42,4,61576.7166667,2016-03-09
17800,30,4,63491.2666667,2016-03-10
20775,34,2,75272.7166667,2016-03-11
18843,36,3,66251.1666667,2016-03-12
13856,40,3,50984.7666667,2016-03-13
15943,43,6,59652.4166667,2016-03-14
15186,35,2,56753.5,2016-03-15
15338,44,6,56416.4,2016-03-16
16058,34,5,58951.9666667,2016-03-17
18285,48,3,66957.9,2016-03-18
16572,45,5,59262.7833333,2016-03-19
12638,30,3,46771.9,2016-03-20
13010,37,2,47775.7833333,2016-03-21
14225,34,2,52912.1833333,2016-03-22
13125,39,5,48264.5833333,2016-03-23
13419,30,2,50279.7166667,2016-03-24
13223,38,4,48905.7166667,2016-03-25
13792,34,8,51535.8,2016-03-26
12130,23,4,45212.6166667,2016-03-27
11628,29,4,43262.5,2016-03-28
12742,41,1,47803.5333333,2016-03-29
14441,46,4,52257.3,2016-03-30
13979,28,5,51806.4333333,2016-03-31
15384,44,2,57127.9333333,2016-04-01
14323,39,1,54635.85,2016-04-02
13335,44,6,50931.7333333,2016-04-03
14815,44,2,57550.8833333,2016-04-04
13315,28,6,49383.3666667,2016-04-05
13305,48,3,49250.0333333,2016-04-06
13834,55,2,51681.1333333,2016-04-07
16392,30,3,62183.4,2016-04-08
15639,44,2,58704.8333333,2016-04-09
11640,30,0,43226.4833333,2016-04-10
8696,33,4,30938.1666667,2016-04-11
11976,32,2,44876.25,2016-04-12
13232,33,2,50440.0166667,2016-04-13
13664,30,1,50745.75,2016-04-14
15510,25,3,58163.3,2016-04-15
14245,39,4,53255.9333333,2016-04-16
11013,19,2,41676.6,2016-04-17
12176,29,7,46671.1166667,2016-04-18
13302,28,2,50391.9166667,2016-04-19
13236,38,3,50768.3,2016-04-20
13192,34,4,50187.0,2016-04-21
14732,36,5,56143.2166667,2016-04-22
13672,38,4,51662.9,2016-04-23
10114,21,3,37719.2333333,2016-04-24
10734,22,3,40486.3166667,2016-04-25
11170,34,0,41807.9833333,2016-04-26
10539,25,0,39329.25,2016-04-27
10900,17,1,40855.9166667,2016-04-28
12453,47,3,47000.9,2016-04-29
12006,52,1,45000.3333333,2016-04-30
10485,36,4,38544.4666667,2016-05-01
10034,40,1,37710.2666667,2016-05-02
9959,30,3,36395.7666667,2016-05-03
10964,24,1,40578.7666667,2016-05-04
11552,32,2,42478.8,2016-05-05
12919,47,4,47081.2833333,2016-05-06
11874,27,3,43112.05,2016-05-07
9505,29,3,34940.45,2016-05-08
10056,52,1,36767.9666667,2016-05-09
10414,43,1,37587.35,2016-05-10
10535,31,3,38445.5333333,2016-05-11
11097,51,4,40607.45,2016-05-12
12561,32,2,46113.2333333,2016-05-13
12559,28,5,45371.75,2016-05-14
10403,40,6,38063.9,2016-05-15
10523,32,3,38507.55,2016-05-16
11190,33,5,41147.9166667,2016-05-17
11304,32,5,41405.2666667,2016-05-18
12194,32,3,44567.4666667,2016-05-19
13680,47,5,50174.9833333,2016-05-20
12149,31,6,44304.4,2016-05-21
9503,36,3,34685.6833333,2016-05-22
10171,24,1,36751.1833333,2016-05-23
11399,37,1,41177.3666667,2016-05-24
11143,39,4,40133.3,2016-05-25
12416,31,2,45777.5833333,2016-05-26
13884,44,2,51771.1833333,2016-05-27
12925,44,5,47168.6833333,2016-05-28
10284,25,3,37311.6833333,2016-05-29
10619,53,2,39113.15,2016-05-30
10203,37,2,37291.5333333,2016-05-31
10472,36,6,38823.1833333,2016-06-01
10643,37,4,38382.45,2016-06-02
12354,40,4,45090.8166667,2016-06-03
11921,57,3,43353.05,2016-06-04
9888,54,2,36323.55,2016-06-05
9985,32,5,36723.4166667,2016-06-06
10258,32,3,37685.3,2016-06-07
10938,28,1,40377.3333333,2016-06-08
12409,24,2,46713.4,2016-06-09
13603,33,5,50162.7,2016-06-10
12517,40,1,45335.95,2016-06-11
10052,32,3,35797.35,2016-06-12
9605,35,2,34194.2333333,2016-06-13
9722,38,5,35264.0666667,2016-06-14
10682,32,4,37778.7333333,2016-06-15
10034,38,6,36177.9666667,2016-06-16
12222,34,5,45026.8,2016-06-17
12095,40,1,44591.0166667,2016-06-18
9556,27,4,34017.7666667,2016-06-19
10346,25,3,37130.7,2016-06-20
10199,37,1,36846.4666667,2016-06-21
9105,23,0,33152.7666667,2016-06-22
10250,31,4,37483.5666667,2016-06-23
11809,28,1,43272.7166667,2016-06-24
10931,33,2,39381.9,2016-06-25
8220,34,2,28667.3333333,2016-06-26
7779,18,3,27734.9,2016-06-27
8808,31,2,31803.05,2016-06-28
9341,25,2,34227.7166667,2016-06-29
9364,28,4,33349.6,2016-06-30
