dailyViewcount,numShare,numSubscriber,watchTime,date
12234521,286178,13513,42214581.85,2017-04-28
12104416,158969,8279,39708437.2,2017-04-29
8399321,87927,4475,27451891.6833,2017-04-30
8428516,85637,4715,27783594.2667,2017-05-01
7098239,66595,4270,23996356.7167,2017-05-02
6729517,55767,3657,22809030.9167,2017-05-03
7237139,54751,3775,24530056.2167,2017-05-04
6909780,47646,2892,23351490.8667,2017-05-05
6858222,43498,2504,22912982.55,2017-05-06
6053305,39914,2100,20381702.3667,2017-05-07
6012573,40383,2304,20660967.0167,2017-05-08
6077273,38962,2243,20920556.1,2017-05-09
6234122,37088,2238,21328234.35,2017-05-10
6299179,38384,2174,21628694.4167,2017-05-11
7367378,42067,2398,24567197.3,2017-05-12
6976969,36325,2053,23456304.4167,2017-05-13
5865656,33600,1772,19927261.8833,2017-05-14
5570479,32159,1808,19411457.9667,2017-05-15
6080777,33652,1845,21088756.3667,2017-05-16
6258295,33989,1917,21745621.8667,2017-05-17
6483514,34065,1890,22291424.6333,2017-05-18
6934759,34462,1994,23505750.1667,2017-05-19
7149993,35035,1822,24085594.3833,2017-05-20
6179988,33828,1712,20985304.6333,2017-05-21
6006102,30132,1583,20816282.0,2017-05-22
