dailyViewcount,numShare,numSubscriber,watchTime,date
39383,931,91,76823.8333333,2016-07-17
72215,990,138,117274.733333,2016-07-18
47487,742,48,83772.1166667,2016-07-19
40228,590,36,72647.55,2016-07-20
36617,551,31,65487.7333333,2016-07-21
31425,436,24,57337.8,2016-07-22
26528,397,15,48130.3833333,2016-07-23
22180,323,13,41111.55,2016-07-24
23103,275,17,43309.15,2016-07-25
23008,345,16,43930.8166667,2016-07-26
24302,366,21,45436.6333333,2016-07-27
24889,339,23,47029.8333333,2016-07-28
23461,354,19,44468.9833333,2016-07-29
21461,309,15,40245.7333333,2016-07-30
20544,270,18,38833.7166667,2016-07-31
22076,330,17,42271.65,2016-08-01
22576,320,22,43036.3333333,2016-08-02
22524,322,18,42772.2833333,2016-08-03
22412,308,17,42698.8333333,2016-08-04
22212,300,18,42542.6833333,2016-08-05
21447,261,17,40930.4666667,2016-08-06
21136,317,14,40046.9833333,2016-08-07
21104,287,11,40355.0,2016-08-08
20314,275,13,38928.8666667,2016-08-09
20363,265,11,39192.05,2016-08-10
19905,316,10,38070.5,2016-08-11
20888,284,15,39762.8333333,2016-08-12
19855,268,7,37862.9166667,2016-08-13
18953,254,13,36194.35,2016-08-14
19190,238,9,37057.7,2016-08-15
19634,259,15,38229.3333333,2016-08-16
19491,264,10,37297.55,2016-08-17
19846,288,16,38057.5,2016-08-18
20872,277,13,40089.9833333,2016-08-19
20245,244,9,38215.7166667,2016-08-20
19687,305,9,37094.4166667,2016-08-21
20008,285,11,38513.85,2016-08-22
20350,312,13,39300.7166667,2016-08-23
19084,257,17,37017.6166667,2016-08-24
18376,261,9,35709.55,2016-08-25
19104,230,5,36985.1,2016-08-26
19794,262,13,37820.6666667,2016-08-27
18616,266,3,35194.2333333,2016-08-28
18505,278,9,35226.0666667,2016-08-29
17254,293,12,33354.85,2016-08-30
17479,289,11,33565.0833333,2016-08-31
18379,337,13,35290.95,2016-09-01
19466,288,7,37370.9833333,2016-09-02
20065,257,10,37969.25,2016-09-03
20588,343,19,38511.8333333,2016-09-04
19869,284,9,37903.1666667,2016-09-05
18209,266,6,35042.45,2016-09-06
18437,256,12,35464.0666667,2016-09-07
19094,286,16,36332.8833333,2016-09-08
20896,314,11,39583.2,2016-09-09
22353,272,9,41837.5166667,2016-09-10
20134,309,14,37653.2166667,2016-09-11
19167,310,8,37034.5833333,2016-09-12
19374,272,13,37004.55,2016-09-13
19800,306,10,37911.5166667,2016-09-14
20938,305,12,40044.7,2016-09-15
22505,255,10,42637.8333333,2016-09-16
24710,302,15,46259.6,2016-09-17
23363,335,10,43632.3166667,2016-09-18
22277,278,9,43151.0333333,2016-09-19
