dailyViewcount,numShare,numSubscriber,watchTime,date
241880,1898,253,813552.6,2013-06-21
255079,1173,219,878867.483333,2013-06-22
209525,1036,210,791669.9,2013-06-23
175619,935,158,707682.866667,2013-06-24
180467,829,182,723526.45,2013-06-25
183538,901,208,740288.133333,2013-06-26
207861,912,255,810027.016667,2013-06-27
214831,872,196,836968.166667,2013-06-28
211976,711,221,813127.216667,2013-06-29
215014,679,207,807712.716667,2013-06-30
306471,994,291,1158326.75,2013-07-01
334113,1029,303,1228104.18333,2013-07-02
257966,803,227,1012230.15,2013-07-03
232252,691,182,889163.333333,2013-07-04
226402,726,188,867763.766667,2013-07-05
211964,593,148,811806.8,2013-07-06
198913,590,176,762606.733333,2013-07-07
205291,626,113,793269.866667,2013-07-08
208127,634,161,799577.716667,2013-07-09
203396,559,162,778090.133333,2013-07-10
292135,823,240,950928.65,2013-07-11
229964,642,202,808402.45,2013-07-12
191880,498,136,674820.166667,2013-07-13
178070,477,131,616391.733333,2013-07-14
273358,716,231,860282.633333,2013-07-15
276958,677,247,871103.216667,2013-07-16
196959,512,147,672450.55,2013-07-17
190176,454,136,674985.416667,2013-07-18
191444,474,149,731052.933333,2013-07-19
164177,422,127,623415.916667,2013-07-20
139519,327,101,524622.3,2013-07-21
155507,408,106,588832.616667,2013-07-22
172322,437,128,649660.633333,2013-07-23
166280,441,129,636463.666667,2013-07-24
165833,357,129,640551.266667,2013-07-25
169402,411,140,655641.183333,2013-07-26
161147,388,122,611205.833333,2013-07-27
151426,395,117,568257.75,2013-07-28
161375,402,126,613137.683333,2013-07-29
164118,390,136,619558.416667,2013-07-30
163641,395,122,616598.0,2013-07-31
158497,379,128,600132.45,2013-08-01
159522,320,115,597507.566667,2013-08-02
151151,302,97,554510.483333,2013-08-03
145235,293,102,524767.7,2013-08-04
141303,349,104,523523.916667,2013-08-05
150047,335,109,551460.183333,2013-08-06
149177,332,102,554519.1,2013-08-07
153857,337,100,561934.566667,2013-08-08
146313,292,94,541296.533333,2013-08-09
137217,290,100,495375.133333,2013-08-10
136236,302,95,486772.783333,2013-08-11
143104,338,117,511617.283333,2013-08-12
153700,308,114,541295.016667,2013-08-13
155327,362,124,559203.116667,2013-08-14
135412,292,85,489497.083333,2013-08-15
121813,200,93,442441.666667,2013-08-16
123504,224,122,437337.716667,2013-08-17
126348,269,116,436255.95,2013-08-18
122281,253,101,429971.216667,2013-08-19
119938,245,103,424243.983333,2013-08-20
126379,262,75,442686.216667,2013-08-21
133221,238,108,462342.283333,2013-08-22
133481,215,92,464940.866667,2013-08-23
134779,240,105,465514.8,2013-08-24
126905,255,92,432492.133333,2013-08-25
119889,194,80,418670.133333,2013-08-26
124108,255,121,425123.866667,2013-08-27
119599,239,91,408829.733333,2013-08-28
127816,226,96,436824.666667,2013-08-29
135106,228,103,460994.366667,2013-08-30
142965,213,94,477779.566667,2013-08-31
138603,241,105,457915.983333,2013-09-01
127904,221,83,429014.683333,2013-09-02
122052,213,90,413499.416667,2013-09-03
117358,190,68,401015.383333,2013-09-04
117463,188,80,399860.8,2013-09-05
120247,232,72,405899.833333,2013-09-06
132017,221,88,435974.1,2013-09-07
114751,158,63,381469.65,2013-09-08
105169,161,56,359733.6,2013-09-09
105079,179,46,355557.5,2013-09-10
101568,186,76,345455.4,2013-09-11
102131,172,73,347757.15,2013-09-12
108229,188,45,364808.3,2013-09-13
112296,148,67,374679.266667,2013-09-14
101798,156,63,334879.283333,2013-09-15
94624,136,52,318213.883333,2013-09-16
89590,144,50,304421.966667,2013-09-17
88946,147,64,301300.033333,2013-09-18
98005,115,73,329874.816667,2013-09-19
108284,172,60,358760.516667,2013-09-20
121867,124,59,397503.283333,2013-09-21
124997,151,69,400577.7,2013-09-22
126459,196,56,409965.533333,2013-09-23
104021,164,55,344557.883333,2013-09-24
98375,169,43,323009.2,2013-09-25
93472,154,49,307998.683333,2013-09-26
103663,143,54,339067.783333,2013-09-27
113010,143,71,363222.116667,2013-09-28
101850,126,58,327014.9,2013-09-29
89831,124,45,293291.716667,2013-09-30
93926,143,43,304062.966667,2013-10-01
93292,138,59,302363.833333,2013-10-02
90474,121,48,290900.05,2013-10-03
93520,142,58,299305.45,2013-10-04
100793,117,53,317774.633333,2013-10-05
92694,117,57,290564.333333,2013-10-06
89106,144,42,284610.983333,2013-10-07
89908,133,57,286371.116667,2013-10-08
97192,116,56,308299.416667,2013-10-09
97934,117,45,309393.016667,2013-10-10
96686,125,38,310295.2,2013-10-11
102573,134,52,321165.233333,2013-10-12
97029,114,60,300885.45,2013-10-13
93665,107,43,293033.1,2013-10-14
89638,113,46,282165.633333,2013-10-15
