dailyViewcount,numShare,numSubscriber,watchTime,date
18366,52,5,29828.1833333,2017-04-17
6126,14,1,10027.0666667,2017-04-18
4598,7,2,7601.15,2017-04-19
4797,12,0,7877.98333333,2017-04-20
3915,7,0,6391.41666667,2017-04-21
3396,15,0,5710.58333333,2017-04-22
2008,4,0,3605.1,2017-04-23
1575,2,0,2651.68333333,2017-04-24
1419,4,1,2486.88333333,2017-04-25
1375,6,1,2229.15,2017-04-26
1336,3,0,2156.18333333,2017-04-27
1291,2,0,2106.5,2017-04-28
1515,5,1,2484.98333333,2017-04-29
1609,2,0,2609.06666667,2017-04-30
1449,3,0,2373.26666667,2017-05-01
1347,1,1,2125.0,2017-05-02
2540,2,0,4137.38333333,2017-05-03
2712,2,2,4393.56666667,2017-05-04
2257,8,0,3666.83333333,2017-05-05
1801,2,1,2917.8,2017-05-06
1453,4,0,2361.4,2017-05-07
1402,2,0,2290.66666667,2017-05-08
1241,0,0,1969.5,2017-05-09
1450,3,1,2357.8,2017-05-10
1272,2,0,2088.9,2017-05-11
1176,2,0,1900.85,2017-05-12
1278,3,0,2069.56666667,2017-05-13
1124,2,0,1830.8,2017-05-14
1086,2,0,1796.76666667,2017-05-15
1798,5,0,2829.05,2017-05-16
1033,2,0,1686.73333333,2017-05-17
1006,3,0,1646.73333333,2017-05-18
1004,4,0,1629.23333333,2017-05-19
983,2,1,1556.08333333,2017-05-20
876,4,1,1405.86666667,2017-05-21
812,3,0,1301.0,2017-05-22
