dailyViewcount,numShare,numSubscriber,watchTime,date
28235,94,42,84867.3666667,2014-09-17
106719,201,152,314575.783333,2014-09-18
189337,223,136,459291.533333,2014-09-19
250147,253,159,668247.283333,2014-09-20
248815,285,198,667751.616667,2014-09-21
211290,253,171,631373.366667,2014-09-22
225124,274,159,676280.65,2014-09-23
277663,295,179,813424.8,2014-09-24
308877,335,198,901840.033333,2014-09-25
346533,298,245,983625.6,2014-09-26
430101,355,292,1209111.5,2014-09-27
405583,325,282,1148373.7,2014-09-28
403978,399,294,1186268.53333,2014-09-29
420946,409,307,1220587.43333,2014-09-30
427257,338,283,1248951.11667,2014-10-01
477775,366,290,1368500.31667,2014-10-02
544624,356,309,1534169.38333,2014-10-03
620168,387,320,1709158.75,2014-10-04
542826,357,268,1505814.96667,2014-10-05
508651,372,300,1446172.66667,2014-10-06
505315,376,289,1445055.71667,2014-10-07
440999,321,245,1302755.53333,2014-10-08
420265,277,192,1240395.53333,2014-10-09
474454,279,213,1375518.6,2014-10-10
500262,318,188,1431661.5,2014-10-11
407263,234,169,1175143.5,2014-10-12
368113,256,181,1094489.15,2014-10-13
382277,246,158,1107035.28333,2014-10-14
399583,277,203,1157896.81667,2014-10-15
417254,261,229,1206981.61667,2014-10-16
466300,255,217,1358081.48333,2014-10-17
518271,275,212,1473275.28333,2014-10-18
434911,269,180,1246619.25,2014-10-19
406940,282,165,1191197.95,2014-10-20
410433,250,180,1191194.75,2014-10-21
428583,299,191,1231626.08333,2014-10-22
457023,259,178,1309767.56667,2014-10-23
527126,271,197,1499050.83333,2014-10-24
606736,288,246,1703256.93333,2014-10-25
537308,363,238,1506499.46667,2014-10-26
533571,395,258,1523032.56667,2014-10-27
568521,454,345,1597718.5,2014-10-28
652699,462,312,1817840.06667,2014-10-29
657870,445,314,1848244.18333,2014-10-30
751383,366,301,2067158.68333,2014-10-31
855699,428,359,2280301.41667,2014-11-01
754729,394,316,2020375.28333,2014-11-02
707598,471,325,1940680.68333,2014-11-03
745072,428,373,2027630.83333,2014-11-04
717977,470,360,1979003.21667,2014-11-05
783884,496,396,2113240.75,2014-11-06
906695,513,374,2399645.61667,2014-11-07
981935,511,438,2552563.78333,2014-11-08
820760,451,372,2130196.68333,2014-11-09
782675,445,440,2086146.58333,2014-11-10
826655,533,394,2184277.3,2014-11-11
776262,522,400,2063902.55,2014-11-12
805130,493,360,2129560.71667,2014-11-13
1496671,713,784,3122754.85,2014-11-14
