dailyViewcount,numShare,numSubscriber,watchTime,date
163318,3014,99,347360.866667,2017-03-17
156231,3018,153,339950.766667,2017-03-18
383765,6822,486,818140.85,2017-03-19
289660,5397,320,710028.45,2017-03-20
258301,4213,268,680589.95,2017-03-21
246654,3559,151,640610.466667,2017-03-22
232490,3439,152,625700.466667,2017-03-23
173240,2689,111,505668.383333,2017-03-24
198743,2935,107,542112.35,2017-03-25
151643,2342,91,437452.633333,2017-03-26
156992,2538,86,457713.433333,2017-03-27
139321,2137,56,421431.366667,2017-03-28
139373,2006,60,424971.316667,2017-03-29
145887,2024,74,436201.766667,2017-03-30
176862,2653,72,510649.383333,2017-03-31
160340,2101,47,468752.4,2017-04-01
152728,2438,59,433640.333333,2017-04-02
151582,2683,58,460720.55,2017-04-03
165620,2842,79,498899.733333,2017-04-04
175586,2707,78,531692.1,2017-04-05
162350,2151,72,502670.033333,2017-04-06
178315,2246,75,541212.583333,2017-04-07
178710,2270,62,537596.85,2017-04-08
164991,2309,67,487258.033333,2017-04-09
162697,2225,67,498143.85,2017-04-10
176812,2523,56,531350.283333,2017-04-11
182892,2583,65,547365.283333,2017-04-12
168175,2190,62,513866.433333,2017-04-13
170947,2147,50,508555.916667,2017-04-14
173254,2219,62,512373.633333,2017-04-15
154024,1969,51,455006.283333,2017-04-16
151409,2011,49,459419.116667,2017-04-17
148933,1940,65,456341.583333,2017-04-18
146437,2012,61,453310.216667,2017-04-19
160658,2064,59,497172.4,2017-04-20
181513,2459,60,542131.633333,2017-04-21
175992,2239,47,533044.483333,2017-04-22
151426,2048,56,458941.25,2017-04-23
148181,1935,60,461010.883333,2017-04-24
145705,1967,60,449089.183333,2017-04-25
148062,2046,51,455127.183333,2017-04-26
160680,2155,71,484947.133333,2017-04-27
166670,2069,47,507203.216667,2017-04-28
174210,1969,56,521334.45,2017-04-29
164570,2148,48,474790.233333,2017-04-30
161754,2121,54,471373.333333,2017-05-01
140752,1750,46,431647.3,2017-05-02
146875,1820,70,449721.916667,2017-05-03
148705,1839,51,457339.366667,2017-05-04
162291,1905,65,497999.566667,2017-05-05
159644,1793,49,481902.133333,2017-05-06
143215,1863,45,424117.266667,2017-05-07
152882,2027,60,454758.566667,2017-05-08
143580,1833,63,437570.533333,2017-05-09
143366,1783,62,438600.933333,2017-05-10
145416,1838,65,446548.316667,2017-05-11
179458,2032,48,538370.933333,2017-05-12
169342,1922,46,512044.05,2017-05-13
147642,1983,42,443254.3,2017-05-14
155656,2070,48,484522.316667,2017-05-15
145606,1806,42,454181.916667,2017-05-16
144103,1706,47,454930.316667,2017-05-17
143759,1753,36,451630.7,2017-05-18
163252,1931,57,507435.766667,2017-05-19
163938,1870,51,502703.466667,2017-05-20
129496,1663,46,401143.166667,2017-05-21
130711,1558,45,409714.5,2017-05-22
