dailyViewcount,numShare,numSubscriber,watchTime,date
2858922,55820,1970,7394658.38333,2016-05-13
2862577,41921,1312,7288407.7,2016-05-14
2763240,37122,1086,6770495.8,2016-05-15
1752795,31385,810,4704721.43333,2016-05-16
1761602,29533,877,4814619.0,2016-05-17
1876558,27237,849,5177614.95,2016-05-18
2009774,30358,879,5716525.48333,2016-05-19
2188321,32242,934,6233312.03333,2016-05-20
2605067,32673,921,7508854.85,2016-05-21
2256040,32248,879,6371437.91667,2016-05-22
2298483,30421,831,6720796.38333,2016-05-23
2532307,31275,790,7496987.58333,2016-05-24
2622758,31567,829,7735741.61667,2016-05-25
2774617,33418,910,8181552.41667,2016-05-26
2865355,33007,826,8453034.16667,2016-05-27
2519683,31488,715,7317428.03333,2016-05-28
2174220,31617,687,6241580.6,2016-05-29
2139721,29204,630,6341709.63333,2016-05-30
2260423,29393,622,6714908.65,2016-05-31
2264341,29155,665,6681570.06667,2016-06-01
2449309,30129,688,7240078.43333,2016-06-02
2553407,30511,714,7545167.65,2016-06-03
2791835,32695,735,8161330.43333,2016-06-04
2467835,31220,689,7205996.95,2016-06-05
2195397,26986,596,6551811.18333,2016-06-06
2022394,26403,527,6003573.63333,2016-06-07
2067224,26720,554,6052133.41667,2016-06-08
2189441,28638,657,6387459.91667,2016-06-09
2194528,27704,616,6346632.28333,2016-06-10
2464954,30251,623,7073720.33333,2016-06-11
2176251,29824,646,6160785.88333,2016-06-12
2031465,26722,614,5917247.31667,2016-06-13
2129555,27623,584,6218025.26667,2016-06-14
2178911,27111,616,6380753.76667,2016-06-15
2271841,27788,551,6631554.51667,2016-06-16
2367686,26877,703,6865044.21667,2016-06-17
2529960,26802,654,7311842.73333,2016-06-18
2235836,26210,629,6363756.1,2016-06-19
2073747,24019,609,6041715.15,2016-06-20
2092952,26093,633,6149286.26667,2016-06-21
2067613,25411,590,6078633.46667,2016-06-22
2229443,27191,562,6521294.16667,2016-06-23
2455919,28608,700,7183192.63333,2016-06-24
2629265,29322,670,7646286.73333,2016-06-25
2225643,27430,636,6379608.68333,2016-06-26
2207474,26531,587,6453528.26667,2016-06-27
2328153,27784,568,6819704.55,2016-06-28
2351479,27360,584,6894030.91667,2016-06-29
2381699,28124,526,6954590.6,2016-06-30
2629781,29383,741,7629938.7,2016-07-01
2841450,29857,659,8180850.98333,2016-07-02
2373585,29310,601,6679005.21667,2016-07-03
2399338,27831,611,6915016.43333,2016-07-04
2510634,29256,638,7183878.91667,2016-07-05
2626336,29596,702,7573352.78333,2016-07-06
2621520,29226,621,7599675.4,2016-07-07
