dailyViewcount,numShare,numSubscriber,watchTime,date
259652,2062,756,830617.2,2013-11-11
497551,975,451,1387571.6,2013-11-12
481398,778,400,1390963.18333,2013-11-13
258548,961,223,900421.816667,2013-11-14
232160,1312,285,841385.816667,2013-11-15
234022,1298,323,867885.566667,2013-11-16
195859,1057,209,723163.35,2013-11-17
194168,1095,207,731758.316667,2013-11-18
201261,1147,279,752846.766667,2013-11-19
201186,1067,234,761772.366667,2013-11-20
205387,1169,208,785796.983333,2013-11-21
213272,1144,256,788360.266667,2013-11-22
229592,1098,254,836532.55,2013-11-23
214985,1070,269,808794.266667,2013-11-24
208719,1052,246,796993.833333,2013-11-25
214477,1147,249,805767.516667,2013-11-26
239194,1062,246,893106.566667,2013-11-27
215862,974,215,809296.2,2013-11-28
208257,914,195,787234.816667,2013-11-29
215227,832,180,809605.783333,2013-11-30
189109,796,178,706465.8,2013-12-01
190237,883,182,725889.65,2013-12-02
197328,901,174,743810.683333,2013-12-03
195751,860,172,744634.133333,2013-12-04
199977,832,166,759655.8,2013-12-05
219922,914,213,823142.2,2013-12-06
296697,1221,313,1066743.56667,2013-12-07
303173,1207,336,1069083.75,2013-12-08
294583,1350,331,1067874.45,2013-12-09
300392,1354,336,1095366.53333,2013-12-10
283863,1376,332,1046393.83333,2013-12-11
312015,1353,329,1151102.75,2013-12-12
342405,1384,346,1234639.48333,2013-12-13
307181,1008,278,1116926.03333,2013-12-14
264429,1045,255,965308.816667,2013-12-15
260683,1060,241,962875.166667,2013-12-16
257874,1059,259,947083.516667,2013-12-17
279290,1025,278,1019376.35,2013-12-18
306289,1175,290,1112057.53333,2013-12-19
300068,1012,232,1078588.58333,2013-12-20
302222,956,269,1059487.65,2013-12-21
274053,930,218,963392.566667,2013-12-22
296129,1086,299,1050197.5,2013-12-23
299950,835,244,1071661.85,2013-12-24
287431,738,203,981920.916667,2013-12-25
289049,937,234,1007569.55,2013-12-26
296550,1007,229,1040516.75,2013-12-27
306124,987,256,1062185.73333,2013-12-28
315893,1061,266,1071350.63333,2013-12-29
273905,898,207,971532.966667,2013-12-30
345494,845,226,1205503.45,2013-12-31
270865,818,234,919417.216667,2014-01-01
329666,1146,287,1135529.56667,2014-01-02
337560,1166,308,1166347.25,2014-01-03
334373,1207,307,1148730.98333,2014-01-04
319636,1115,293,1099213.5,2014-01-05
326985,1305,327,1155047.5,2014-01-06
352068,1362,356,1224524.56667,2014-01-07
376071,1393,339,1264143.85,2014-01-08
404705,1453,358,1349826.15,2014-01-09
465780,1660,386,1518006.15,2014-01-10
473052,1494,357,1527787.71667,2014-01-11
389177,1322,341,1278752.13333,2014-01-12
349043,1262,316,1176568.25,2014-01-13
370083,1326,337,1242881.26667,2014-01-14
381652,1356,323,1283226.76667,2014-01-15
384556,1286,349,1312759.01667,2014-01-16
407507,1359,341,1428599.15,2014-01-17
435697,1377,382,1506955.28333,2014-01-18
394757,1285,361,1355005.38333,2014-01-19
384862,1445,331,1352076.1,2014-01-20
378082,1402,349,1332455.06667,2014-01-21
383718,1499,352,1359960.05,2014-01-22
405083,1432,358,1427200.8,2014-01-23
453208,1532,388,1595407.15,2014-01-24
473773,1517,400,1643527.58333,2014-01-25
415258,1390,374,1432607.53333,2014-01-26
399763,1424,359,1410291.15,2014-01-27
407985,1442,330,1434910.06667,2014-01-28
412794,1439,365,1450000.61667,2014-01-29
431946,1521,334,1519948.83333,2014-01-30
461697,1533,358,1604625.88333,2014-01-31
480678,1411,345,1646844.78333,2014-02-01
355537,1013,261,1232938.41667,2014-02-02
353406,1130,275,1249756.53333,2014-02-03
375044,1288,352,1312406.58333,2014-02-04
388271,1194,342,1348101.48333,2014-02-05
402211,1232,357,1397745.46667,2014-02-06
420945,1238,340,1453829.7,2014-02-07
447262,1125,349,1527513.36667,2014-02-08
388702,1098,318,1323100.28333,2014-02-09
369314,1066,289,1290434.53333,2014-02-10
369402,1060,284,1279995.61667,2014-02-11
396811,1095,289,1353628.33333,2014-02-12
448418,1145,341,1522383.03333,2014-02-13
553404,1335,400,1823766.31667,2014-02-14
581711,1397,392,1880011.71667,2014-02-15
519283,1275,408,1677060.36667,2014-02-16
460381,1138,372,1532956.53333,2014-02-17
