dailyViewcount,numShare,numSubscriber,watchTime,date
2810,2,0,6114.05,2017-03-10
6518,0,0,14561.3,2017-03-11
4471,1,0,8856.2,2017-03-12
9656,2,0,21261.4,2017-03-13
13739,4,3,30242.3333333,2017-03-14
9102,1,0,24004.1833333,2017-03-15
4715,1,2,11277.2,2017-03-16
3594,0,0,8550.28333333,2017-03-17
2881,1,0,6581.76666667,2017-03-18
2724,1,0,6037.08333333,2017-03-19
3910,2,0,9056.2,2017-03-20
5964,0,0,13541.6333333,2017-03-21
7157,2,0,16712.5833333,2017-03-22
24121,3,3,54910.8166667,2017-03-23
34784,1,2,77785.4,2017-03-24
15408,1,2,37464.4,2017-03-25
14538,1,1,35435.2,2017-03-26
7442,0,1,18017.6,2017-03-27
9418,2,0,23392.7833333,2017-03-28
2046,0,0,5455.71666667,2017-03-29
2719,0,0,7684.6,2017-03-30
2794,0,0,7282.2,2017-03-31
2617,0,0,6662.61666667,2017-04-01
1955,0,1,4873.13333333,2017-04-02
2039,0,0,5134.98333333,2017-04-03
1631,0,1,4103.93333333,2017-04-04
2095,0,1,5089.38333333,2017-04-05
2285,0,1,5490.16666667,2017-04-06
2651,0,2,6235.76666667,2017-04-07
4117,0,0,9606.08333333,2017-04-08
4859,0,1,10802.4333333,2017-04-09
4727,2,1,10822.75,2017-04-10
4803,0,1,11318.3333333,2017-04-11
5905,1,0,13750.45,2017-04-12
4646,0,1,10468.9666667,2017-04-13
7063,0,2,15779.5,2017-04-14
5358,1,2,11841.3666667,2017-04-15
6524,3,0,14074.4333333,2017-04-16
6027,2,1,13449.7666667,2017-04-17
6297,0,1,14394.9166667,2017-04-18
4402,0,0,10151.4833333,2017-04-19
3641,1,1,8480.11666667,2017-04-20
3830,0,2,9116.85,2017-04-21
3501,2,1,8504.56666667,2017-04-22
2476,0,0,5923.16666667,2017-04-23
2652,0,3,6044.58333333,2017-04-24
2348,0,0,5476.65,2017-04-25
1804,0,0,4141.85,2017-04-26
3076,0,1,7400.71666667,2017-04-27
4921,2,2,12604.7833333,2017-04-28
5729,1,1,13959.5,2017-04-29
4297,0,1,10744.1666667,2017-04-30
3351,2,0,8252.13333333,2017-05-01
3476,1,0,8484.98333333,2017-05-02
3231,0,0,8067.78333333,2017-05-03
2824,0,1,7238.61666667,2017-05-04
2602,0,1,6542.73333333,2017-05-05
2112,0,0,5291.21666667,2017-05-06
1431,0,1,3467.75,2017-05-07
1074,0,0,2533.73333333,2017-05-08
1216,0,0,3008.81666667,2017-05-09
785,1,0,1838.2,2017-05-10
773,0,0,1889.38333333,2017-05-11
784,0,0,1913.56666667,2017-05-12
866,0,0,1994.41666667,2017-05-13
949,0,1,2293.48333333,2017-05-14
1279,0,2,2799.7,2017-05-15
1318,1,0,2969.65,2017-05-16
1206,0,0,2516.08333333,2017-05-17
2167,0,0,5282.01666667,2017-05-18
1649,0,0,3954.16666667,2017-05-19
2229,1,1,5846.15,2017-05-20
2835,0,0,7541.31666667,2017-05-21
4884,1,1,12785.2333333,2017-05-22
