dailyViewcount,numShare,numSubscriber,watchTime,date
954,37,3,4216.15,2015-08-10
63450,625,287,256127.366667,2015-08-11
54107,597,175,209878.933333,2015-08-12
77214,555,141,225295.616667,2015-08-13
67505,542,101,210407.466667,2015-08-14
68519,497,106,228236.45,2015-08-15
69949,537,145,238502.083333,2015-08-16
68294,562,126,237603.166667,2015-08-17
64870,531,123,230880.266667,2015-08-18
63460,538,82,230379.683333,2015-08-19
63273,520,89,239190.65,2015-08-20
59580,398,81,221587.966667,2015-08-21
58767,436,121,206653.633333,2015-08-22
56530,407,123,198965.183333,2015-08-23
51728,414,91,190335.216667,2015-08-24
50451,472,73,191059.95,2015-08-25
56017,458,126,210471.316667,2015-08-26
57098,470,111,216165.283333,2015-08-27
56091,446,84,212005.15,2015-08-28
53996,386,71,202076.183333,2015-08-29
48070,379,52,181129.85,2015-08-30
47417,406,76,169743.433333,2015-08-31
55881,395,100,211069.066667,2015-09-01
55526,382,88,211941.7,2015-09-02
51823,363,62,199445.15,2015-09-03
54785,400,70,211579.683333,2015-09-04
57692,352,75,216303.866667,2015-09-05
58787,397,107,219854.75,2015-09-06
60797,404,103,225322.966667,2015-09-07
56921,476,94,219011.8,2015-09-08
58402,454,78,226259.733333,2015-09-09
57820,469,77,224548.316667,2015-09-10
55810,397,51,219461.383333,2015-09-11
58551,398,66,227775.15,2015-09-12
56083,392,78,214750.25,2015-09-13
53063,399,76,206519.6,2015-09-14
51621,399,78,205465.766667,2015-09-15
52180,433,48,207410.7,2015-09-16
53563,409,60,213256.55,2015-09-17
64646,465,59,254229.816667,2015-09-18
72519,460,104,279790.083333,2015-09-19
70843,529,100,271877.216667,2015-09-20
69910,564,98,270895.616667,2015-09-21
74684,586,103,291427.25,2015-09-22
74601,593,119,292141.083333,2015-09-23
72290,561,79,287993.166667,2015-09-24
76693,562,74,299326.85,2015-09-25
83422,562,100,320928.05,2015-09-26
76074,511,85,301771.233333,2015-09-27
78238,610,84,309885.3,2015-09-28
74263,515,79,300380.483333,2015-09-29
77890,530,54,311479.133333,2015-09-30
80186,587,71,318826.233333,2015-10-01
85365,574,75,336095.183333,2015-10-02
88131,551,72,344242.433333,2015-10-03
