dailyViewcount,numShare,numSubscriber,watchTime,date
1020512,20754,7057,2986689.05,2013-12-19
958381,6379,2663,2513381.31667,2013-12-20
671662,3086,1238,1839881.68333,2013-12-21
525769,2169,822,1451341.13333,2013-12-22
438892,1842,730,1245484.6,2013-12-23
336899,1151,510,964487.666667,2013-12-24
287352,933,441,809772.7,2013-12-25
321785,1249,577,915242.15,2013-12-26
314842,1127,521,913194.666667,2013-12-27
271735,989,450,799164.833333,2013-12-28
258600,915,448,762408.566667,2013-12-29
268380,1006,461,799847.683333,2013-12-30
243374,785,382,705757.833333,2013-12-31
219979,671,365,638004.166667,2014-01-01
252540,855,490,747759.95,2014-01-02
236672,858,386,705925.5,2014-01-03
223673,770,331,667154.883333,2014-01-04
204093,639,326,605458.35,2014-01-05
216699,701,345,630955.9,2014-01-06
212681,716,296,601953.183333,2014-01-07
221904,692,258,608469.283333,2014-01-08
252195,717,323,668304.933333,2014-01-09
361105,833,382,869226.983333,2014-01-10
395248,855,383,943637.35,2014-01-11
242952,606,314,640515.033333,2014-01-12
222752,688,305,587598.916667,2014-01-13
231104,705,338,613082.5,2014-01-14
199929,611,286,557254.666667,2014-01-15
194682,565,257,548090.716667,2014-01-16
210012,603,283,593012.383333,2014-01-17
235444,635,296,654288.833333,2014-01-18
207479,552,246,588858.816667,2014-01-19
196452,533,283,557859.583333,2014-01-20
195157,570,257,550769.583333,2014-01-21
196121,527,237,553640.7,2014-01-22
197218,503,248,562671.716667,2014-01-23
209785,566,276,594540.916667,2014-01-24
209106,583,266,596744.066667,2014-01-25
194142,514,244,548057.7,2014-01-26
190402,554,257,541037.433333,2014-01-27
202684,587,284,571132.45,2014-01-28
215338,621,320,602970.983333,2014-01-29
291436,747,516,785498.283333,2014-01-30
220943,548,335,597866.0,2014-01-31
207078,492,321,563852.616667,2014-02-01
252702,610,310,674610.0,2014-02-02
231423,551,329,634911.933333,2014-02-03
211845,525,297,589571.416667,2014-02-04
199296,516,259,558455.7,2014-02-05
194935,442,236,548532.45,2014-02-06
199566,489,290,551484.816667,2014-02-07
215454,510,291,592626.966667,2014-02-08
191201,402,211,529245.25,2014-02-09
175237,400,201,489924.983333,2014-02-10
166948,374,177,467764.383333,2014-02-11
167640,380,177,464520.65,2014-02-12
171158,383,199,475179.083333,2014-02-13
181388,344,199,493965.366667,2014-02-14
213537,439,255,576466.533333,2014-02-15
194212,380,211,526606.283333,2014-02-16
186947,423,201,508216.65,2014-02-17
182264,383,193,500537.2,2014-02-18
160045,429,177,442248.933333,2014-02-19
150531,355,181,418790.533333,2014-02-20
158380,323,169,434400.366667,2014-02-21
167551,330,184,455773.733333,2014-02-22
148269,270,161,405877.183333,2014-02-23
137440,310,153,379793.083333,2014-02-24
147552,346,167,406638.25,2014-02-25
