dailyViewcount,numShare,numSubscriber,watchTime,date
1392074,17753,3127,2860506.23333,2016-09-27
614868,6870,1334,1363556.53333,2016-09-28
866459,8849,1906,1809100.18333,2016-09-29
740547,6973,1033,1568239.98333,2016-09-30
955577,7774,1371,1953741.98333,2016-10-01
1218682,8565,1535,2595439.63333,2016-10-02
1179582,7296,1270,2601451.25,2016-10-03
1043859,6330,899,2341350.16667,2016-10-04
1091291,6700,840,2423019.83333,2016-10-05
1085673,6578,728,2425171.05,2016-10-06
1107970,6691,772,2440640.96667,2016-10-07
1155732,6472,751,2544321.26667,2016-10-08
1058438,6693,697,2353210.98333,2016-10-09
1027248,5891,665,2330517.81667,2016-10-10
1014049,5796,642,2321135.45,2016-10-11
1051566,5775,650,2414051.86667,2016-10-12
1009063,5509,552,2339925.13333,2016-10-13
1041603,5825,571,2376928.28333,2016-10-14
1132477,6001,667,2596861.43333,2016-10-15
1037984,5881,622,2432538.23333,2016-10-16
996730,5497,518,2378743.86667,2016-10-17
964866,4966,505,2320906.81667,2016-10-18
1005154,5156,529,2409175.51667,2016-10-19
1096695,5575,639,2616009.15,2016-10-20
1139600,5605,601,2685450.28333,2016-10-21
1220920,5988,747,2840888.66667,2016-10-22
1056262,5894,571,2500219.13333,2016-10-23
1128383,5574,595,2726798.53333,2016-10-24
1156884,5663,621,2787752.86667,2016-10-25
1139118,5511,497,2758844.3,2016-10-26
1103096,5269,508,2675603.05,2016-10-27
1166795,5331,606,2772099.01667,2016-10-28
1193967,5598,637,2787197.5,2016-10-29
1053954,5418,539,2513815.73333,2016-10-30
983010,4690,439,2409744.4,2016-10-31
1006043,5281,429,2459183.63333,2016-11-01
1002710,5479,429,2452770.48333,2016-11-02
1022506,5590,474,2481727.08333,2016-11-03
1052715,5877,464,2534344.25,2016-11-04
1117689,6199,460,2648085.56667,2016-11-05
1075354,6446,537,2578239.56667,2016-11-06
1015520,5754,445,2489437.08333,2016-11-07
1061302,5476,526,2577559.43333,2016-11-08
1064583,5430,508,2597353.2,2016-11-09
1075673,6062,441,2617637.05,2016-11-10
1191593,6954,580,2832928.68333,2016-11-11
1263861,7304,569,2991800.0,2016-11-12
1129015,7264,467,2698419.23333,2016-11-13
1051611,6028,425,2576028.08333,2016-11-14
1045103,6066,418,2554698.0,2016-11-15
1077847,6208,490,2636647.03333,2016-11-16
1097494,6304,495,2685675.2,2016-11-17
1107385,6410,509,2688937.98333,2016-11-18
1150278,6847,507,2748480.01667,2016-11-19
1044783,6354,501,2520261.43333,2016-11-20
1007985,5977,428,2482414.63333,2016-11-21
996865,5741,430,2464162.66667,2016-11-22
1043351,6036,414,2563691.25,2016-11-23
1017355,5753,375,2477165.65,2016-11-24
1049720,6266,438,2516879.58333,2016-11-25
1127087,6821,500,2699324.51667,2016-11-26
1090328,6691,428,2648462.78333,2016-11-27
1046990,5804,416,2586559.71667,2016-11-28
1071393,6129,412,2636180.75,2016-11-29
983672,5758,403,2401716.65,2016-11-30
966796,5596,366,2346067.3,2016-12-01
1073436,5934,364,2592466.3,2016-12-02
1141576,5920,445,2731889.1,2016-12-03
992255,5857,376,2395041.28333,2016-12-04
918760,5361,340,2257169.91667,2016-12-05
966829,5639,350,2361626.71667,2016-12-06
998881,5631,387,2418003.0,2016-12-07
972986,5399,392,2359793.31667,2016-12-08
1010130,5876,352,2435487.98333,2016-12-09
1061454,6012,367,2533974.61667,2016-12-10
952346,5716,340,2294519.91667,2016-12-11
913088,5371,339,2242795.46667,2016-12-12
921407,5636,332,2257255.31667,2016-12-13
900588,5496,342,2212223.1,2016-12-14
889852,5628,334,2174244.66667,2016-12-15
947224,5843,348,2284376.56667,2016-12-16
1004457,6079,362,2381182.4,2016-12-17
883996,5563,307,2109440.48333,2016-12-18
848346,5665,310,2050359.56667,2016-12-19
856995,5681,316,2073262.58333,2016-12-20
875519,5608,292,2118011.53333,2016-12-21
872396,5667,252,2114153.78333,2016-12-22
899628,6097,349,2160112.23333,2016-12-23
818495,5164,258,1951880.76667,2016-12-24
726826,5253,235,1690228.38333,2016-12-25
804875,5784,313,1906268.8,2016-12-26
842775,5966,319,1998964.0,2016-12-27
918986,5941,340,2188400.68333,2016-12-28
890263,5974,324,2129904.96667,2016-12-29
879268,6284,300,2080333.51667,2016-12-30
989758,5414,258,2329960.18333,2016-12-31
694170,5164,237,1599591.55,2017-01-01
806961,5919,286,1900284.26667,2017-01-02
842223,5766,293,1998059.35,2017-01-03
856048,5793,334,2046307.43333,2017-01-04
861198,5733,253,2061498.05,2017-01-05
900370,6283,252,2119420.13333,2017-01-06
894641,6392,238,2073092.66667,2017-01-07
835737,6640,227,1953711.45,2017-01-08
860106,5841,241,2059040.95,2017-01-09
867418,5801,241,2082224.55,2017-01-10
868949,5761,235,2070262.98333,2017-01-11
856599,5641,228,2045186.61667,2017-01-12
907130,5795,246,2135451.85,2017-01-13
923810,6133,249,2141576.71667,2017-01-14
837035,5802,225,1954724.1,2017-01-15
810280,5081,209,1929493.11667,2017-01-16
818795,5235,0,1952441.61667,2017-01-17
814948,5359,0,1942889.81667,2017-01-18
822305,5361,0,1957732.48333,2017-01-19
838124,5612,0,1971693.6,2017-01-20
901522,5969,0,2095654.16667,2017-01-21
813055,5709,0,1895522.9,2017-01-22
741766,4935,0,1776376.7,2017-01-23
726508,4889,0,1741354.91667,2017-01-24
726750,5009,0,1739539.88333,2017-01-25
719625,4855,0,1709579.13333,2017-01-26
739484,5047,0,1735763.31667,2017-01-27
675358,4584,231,1582210.21667,2017-01-28
602583,4324,192,1416108.5,2017-01-29
627220,4014,189,1511572.1,2017-01-30
680188,4475,253,1619448.06667,2017-01-31
671812,4160,263,1608280.76667,2017-02-01
662234,4301,240,1589253.08333,2017-02-02
682498,4490,283,1618251.31667,2017-02-03
674184,4551,255,1564994.81667,2017-02-04
592365,4425,229,1380739.51667,2017-02-05
594306,3998,230,1419926.21667,2017-02-06
619673,4053,240,1479628.03333,2017-02-07
615973,4203,266,1464466.73333,2017-02-08
618114,3998,223,1460202.3,2017-02-09
611012,4011,251,1416320.25,2017-02-10
592923,3978,247,1354993.38333,2017-02-11
507120,3896,211,1162610.2,2017-02-12
484394,3288,205,1146276.7,2017-02-13
485396,3212,193,1137633.51667,2017-02-14
508611,3345,221,1191603.4,2017-02-15
514476,3558,234,1203969.05,2017-02-16
552164,3767,216,1268885.56667,2017-02-17
581056,4083,238,1321839.76667,2017-02-18
521078,3840,212,1191496.05,2017-02-19
525785,3409,198,1235462.53333,2017-02-20
538917,3572,212,1270933.06667,2017-02-21
523956,3410,231,1225120.88333,2017-02-22
550696,3464,227,1295154.75,2017-02-23
589854,3771,229,1367530.16667,2017-02-24
616999,3788,247,1405855.63333,2017-02-25
562476,3683,217,1292751.13333,2017-02-26
561305,3307,232,1328073.65,2017-02-27
552753,3198,240,1306325.53333,2017-02-28
546762,3404,236,1275644.38333,2017-03-01
529784,3302,202,1249325.38333,2017-03-02
559489,3631,223,1290910.08333,2017-03-03
610629,3787,235,1398809.33333,2017-03-04
557276,3640,232,1289890.38333,2017-03-05
481250,3069,185,1130831.93333,2017-03-06
463138,3063,182,1097425.15,2017-03-07
