dailyViewcount,numShare,numSubscriber,watchTime,date
983140,11852,2984,3754042.26667,2015-05-20
483016,4031,986,1988601.93333,2015-05-21
400606,2731,531,1667867.15,2015-05-22
331835,1895,369,1333274.26667,2015-05-23
286611,1864,339,1137423.93333,2015-05-24
324292,1993,379,1219645.81667,2015-05-25
370434,2573,432,1316207.06667,2015-05-26
356566,2083,395,1290270.48333,2015-05-27
348080,2160,343,1276518.81667,2015-05-28
318019,1613,235,1164677.15,2015-05-29
281938,1441,229,1026268.51667,2015-05-30
256171,1322,225,940571.633333,2015-05-31
270091,1342,242,991868.616667,2015-06-01
278831,1424,256,1016574.56667,2015-06-02
265202,1276,205,966989.6,2015-06-03
256332,1225,184,923827.2,2015-06-04
228807,1020,153,831125.416667,2015-06-05
223230,1006,146,795734.066667,2015-06-06
205612,958,153,737899.266667,2015-06-07
217227,1111,164,784612.75,2015-06-08
205510,904,147,749671.35,2015-06-09
197434,872,121,714104.966667,2015-06-10
211091,904,162,721816.316667,2015-06-11
429400,1431,403,1136440.88333,2015-06-12
394421,1258,316,1109022.08333,2015-06-13
353377,1312,295,1018616.05,2015-06-14
350335,1272,284,1048641.55,2015-06-15
298463,1051,200,935035.4,2015-06-16
258785,1040,173,858738.333333,2015-06-17
231357,896,141,781922.783333,2015-06-18
260123,874,129,868836.116667,2015-06-19
237202,741,129,795614.383333,2015-06-20
206033,779,128,685707.433333,2015-06-21
212892,801,141,713206.616667,2015-06-22
210360,759,116,700708.55,2015-06-23
203813,837,106,680617.783333,2015-06-24
235598,815,144,752692.4,2015-06-25
275276,765,200,816343.916667,2015-06-26
267084,772,147,798634.35,2015-06-27
253587,883,165,751644.266667,2015-06-28
236588,817,135,708535.95,2015-06-29
209958,757,146,662995.1,2015-06-30
188586,668,106,621776.166667,2015-07-01
192890,661,106,633471.483333,2015-07-02
188359,606,87,620586.95,2015-07-03
178898,532,72,586187.15,2015-07-04
202957,611,94,650869.366667,2015-07-05
210719,594,106,682078.25,2015-07-06
172169,575,80,574129.95,2015-07-07
170984,550,89,576454.166667,2015-07-08
171729,597,69,573921.466667,2015-07-09
172053,512,76,577344.766667,2015-07-10
167754,474,82,554469.016667,2015-07-11
158286,529,71,521245.55,2015-07-12
163689,613,83,545818.033333,2015-07-13
156842,532,96,524631.25,2015-07-14
157558,553,68,525587.466667,2015-07-15
159655,529,74,526954.95,2015-07-16
159629,510,61,529740.533333,2015-07-17
151522,505,72,499531.15,2015-07-18
139350,460,59,457022.966667,2015-07-19
145763,516,79,485126.15,2015-07-20
140848,476,73,468746.033333,2015-07-21
134845,481,63,451512.75,2015-07-22
135313,466,64,449256.866667,2015-07-23
138694,429,54,459730.766667,2015-07-24
130071,403,62,425995.483333,2015-07-25
142381,497,70,453732.383333,2015-07-26
164954,497,92,522977.783333,2015-07-27
157729,526,74,502049.0,2015-07-28
135304,536,68,437650.8,2015-07-29
156662,527,79,505064.25,2015-07-30
155466,494,91,500722.716667,2015-07-31
142166,419,72,455245.266667,2015-08-01
137090,460,92,433112.95,2015-08-02
140431,460,82,453120.666667,2015-08-03
125742,453,74,409498.983333,2015-08-04
118479,484,56,389048.083333,2015-08-05
120343,431,60,392826.066667,2015-08-06
125663,416,53,411235.966667,2015-08-07
125058,364,73,403803.883333,2015-08-08
118976,418,63,380165.383333,2015-08-09
126898,454,71,407416.233333,2015-08-10
123109,416,63,399833.3,2015-08-11
120736,448,75,394158.483333,2015-08-12
119142,452,52,388454.65,2015-08-13
124789,471,60,405621.0,2015-08-14
121023,432,61,388884.25,2015-08-15
112085,446,67,360653.266667,2015-08-16
114422,448,60,372230.733333,2015-08-17
111732,486,51,363679.3,2015-08-18
113310,445,63,368545.533333,2015-08-19
113407,481,51,370722.183333,2015-08-20
117581,408,51,387684.5,2015-08-21
116222,363,47,378807.016667,2015-08-22
117122,412,63,378646.383333,2015-08-23
110699,407,61,365535.633333,2015-08-24
106668,472,55,352103.05,2015-08-25
108654,412,55,357595.816667,2015-08-26
109002,446,66,361199.766667,2015-08-27
114044,446,59,378545.883333,2015-08-28
112096,372,45,368400.9,2015-08-29
112758,497,72,362925.1,2015-08-30
117738,515,80,358680.266667,2015-08-31
123151,546,87,404331.333333,2015-09-01
112563,484,62,376166.4,2015-09-02
112889,427,76,377677.383333,2015-09-03
115455,456,39,384200.183333,2015-09-04
117813,394,60,384969.233333,2015-09-05
116160,453,69,387719.3,2015-09-06
107229,449,66,361258.15,2015-09-07
101985,396,54,344155.116667,2015-09-08
102759,425,62,347081.316667,2015-09-09
106743,432,55,356926.833333,2015-09-10
115110,387,46,379606.033333,2015-09-11
134600,409,61,440973.266667,2015-09-12
109532,431,53,356209.683333,2015-09-13
103026,420,54,344209.916667,2015-09-14
99230,430,56,333225.483333,2015-09-15
97337,378,50,327100.233333,2015-09-16
99264,399,55,332935.9,2015-09-17
108164,320,49,362523.1,2015-09-18
110963,342,47,367806.383333,2015-09-19
100252,402,43,330858.5,2015-09-20
124965,415,71,411319.6,2015-09-21
125936,404,64,418037.616667,2015-09-22
104377,426,62,354338.416667,2015-09-23
93625,356,56,323347.083333,2015-09-24
96362,315,45,328431.483333,2015-09-25
99561,346,48,334547.066667,2015-09-26
88520,398,43,301116.033333,2015-09-27
87905,362,56,300939.75,2015-09-28
85603,348,48,292366.533333,2015-09-29
86820,375,44,298156.066667,2015-09-30
86483,337,43,296878.633333,2015-10-01
94870,382,51,322390.683333,2015-10-02
98904,338,45,330620.833333,2015-10-03
88205,395,53,297465.4,2015-10-04
87091,395,38,297768.583333,2015-10-05
87345,336,48,295088.083333,2015-10-06
89564,336,45,304288.066667,2015-10-07
98338,353,51,335621.5,2015-10-08
106728,351,57,362870.133333,2015-10-09
112924,338,58,381487.266667,2015-10-10
98942,347,65,336222.916667,2015-10-11
86601,353,49,292102.016667,2015-10-12
84237,320,63,284400.05,2015-10-13
89080,316,62,299856.3,2015-10-14
89263,321,57,302633.8,2015-10-15
95376,287,62,320528.716667,2015-10-16
109969,293,65,363179.45,2015-10-17
131087,405,79,424855.0,2015-10-18
147898,388,124,483101.583333,2015-10-19
125443,372,98,416881.016667,2015-10-20
85421,341,50,292331.9,2015-10-21
84466,272,47,288774.85,2015-10-22
91751,324,53,313042.533333,2015-10-23
93077,312,50,311246.7,2015-10-24
83470,306,62,276623.916667,2015-10-25
84986,343,43,287391.466667,2015-10-26
85471,325,60,289299.633333,2015-10-27
87914,294,50,298379.133333,2015-10-28
88746,318,70,301454.783333,2015-10-29
90209,278,58,305665.25,2015-10-30
89093,245,49,300566.183333,2015-10-31
81914,312,61,272424.833333,2015-11-01
79201,323,52,265928.433333,2015-11-02
79707,298,44,270748.05,2015-11-03
81007,270,57,275554.583333,2015-11-04
83185,308,58,282089.633333,2015-11-05
86662,299,41,293229.383333,2015-11-06
89543,312,52,300021.683333,2015-11-07
81658,348,53,276944.966667,2015-11-08
80399,316,58,272116.916667,2015-11-09
82780,310,51,280254.016667,2015-11-10
82258,342,45,280696.516667,2015-11-11
70278,300,38,237637.85,2015-11-12
81708,287,43,278326.716667,2015-11-13
81046,265,34,275065.933333,2015-11-14
74299,314,54,251365.9,2015-11-15
74167,253,50,254491.233333,2015-11-16
76374,277,50,260460.583333,2015-11-17
79231,306,44,265846.5,2015-11-18
79793,309,40,269795.35,2015-11-19
84989,309,48,285437.383333,2015-11-20
88713,286,41,298067.866667,2015-11-21
79012,312,50,265371.783333,2015-11-22
79948,345,48,271413.233333,2015-11-23
79431,316,60,270191.166667,2015-11-24
81193,281,55,274255.15,2015-11-25
76582,311,37,257281.083333,2015-11-26
78655,279,55,265071.066667,2015-11-27
86156,279,53,286975.216667,2015-11-28
76223,326,76,255444.866667,2015-11-29
74519,340,44,252958.883333,2015-11-30
72646,270,47,248831.916667,2015-12-01
72541,278,52,250306.833333,2015-12-02
74621,308,45,256646.783333,2015-12-03
77613,227,49,267605.933333,2015-12-04
79244,271,44,269246.083333,2015-12-05
71304,295,47,243634.883333,2015-12-06
76393,313,67,261614.966667,2015-12-07
76135,292,54,260915.816667,2015-12-08
75216,276,47,259925.066667,2015-12-09
75785,254,48,262507.75,2015-12-10
81439,279,44,280832.5,2015-12-11
79723,210,42,275554.783333,2015-12-12
73498,268,65,254269.0,2015-12-13
72697,279,58,254099.433333,2015-12-14
72281,273,44,253775.8,2015-12-15
72148,251,49,251390.4,2015-12-16
74536,264,39,259398.85,2015-12-17
80366,250,41,277811.0,2015-12-18
78597,281,42,271081.5,2015-12-19
72414,322,38,247692.316667,2015-12-20
75313,278,45,258393.6,2015-12-21
76535,264,45,260321.2,2015-12-22
77828,251,37,266901.85,2015-12-23
73043,255,36,247569.133333,2015-12-24
66179,263,50,221180.316667,2015-12-25
70707,279,35,234349.766667,2015-12-26
70048,301,32,233406.616667,2015-12-27
74819,328,53,251352.5,2015-12-28
75784,310,44,253847.116667,2015-12-29
78014,299,45,262510.5,2015-12-30
88062,280,32,288439.583333,2015-12-31
78374,325,40,238193.066667,2016-01-01
80489,309,49,257965.233333,2016-01-02
76997,342,66,248768.583333,2016-01-03
79081,337,45,258827.4,2016-01-04
83986,345,59,274081.916667,2016-01-05
92642,372,75,300666.85,2016-01-06
82266,340,51,273029.833333,2016-01-07
84833,329,52,282969.95,2016-01-08
83453,339,34,275710.633333,2016-01-09
74474,329,45,247095.5,2016-01-10
72856,292,53,242517.216667,2016-01-11
74330,320,36,248627.6,2016-01-12
76364,330,47,256886.466667,2016-01-13
82034,318,46,277524.566667,2016-01-14
91175,303,41,307868.35,2016-01-15
91443,317,45,308416.083333,2016-01-16
83578,356,58,282637.483333,2016-01-17
82694,334,46,279306.816667,2016-01-18
78799,370,53,268008.133333,2016-01-19
80477,368,36,272144.95,2016-01-20
85816,378,69,291136.916667,2016-01-21
93231,378,46,317093.683333,2016-01-22
93395,339,47,316530.2,2016-01-23
82317,380,60,278562.933333,2016-01-24
83313,368,59,284413.316667,2016-01-25
86124,349,47,291331.366667,2016-01-26
90001,351,58,302564.433333,2016-01-27
104748,410,74,343468.2,2016-01-28
103328,348,56,345952.333333,2016-01-29
101950,386,58,341441.083333,2016-01-30
89048,405,42,300174.283333,2016-01-31
87514,385,46,296528.483333,2016-02-01
84875,310,39,290896.9,2016-02-02
85232,348,49,294286.95,2016-02-03
82008,350,52,280128.0,2016-02-04
89167,362,35,306183.666667,2016-02-05
89892,353,39,308624.833333,2016-02-06
76149,355,37,261783.366667,2016-02-07
76144,348,39,261666.966667,2016-02-08
77480,362,52,267295.233333,2016-02-09
78456,359,31,269515.866667,2016-02-10
83322,382,60,281934.833333,2016-02-11
89365,331,48,302380.4,2016-02-12
88790,352,38,302089.2,2016-02-13
79163,338,46,268535.016667,2016-02-14
83645,399,52,279089.966667,2016-02-15
83585,331,61,280010.25,2016-02-16
80912,356,48,272273.35,2016-02-17
84201,372,40,280605.083333,2016-02-18
92199,370,54,308669.983333,2016-02-19
93507,297,52,312026.4,2016-02-20
80755,354,42,273204.683333,2016-02-21
80074,355,58,275901.933333,2016-02-22
78503,374,47,270499.066667,2016-02-23
103361,411,56,352798.016667,2016-02-24
92484,356,55,320640.783333,2016-02-25
97203,384,36,336269.016667,2016-02-26
94955,366,46,325770.416667,2016-02-27
80232,339,60,275594.35,2016-02-28
76797,351,41,264804.95,2016-02-29
79691,356,46,273649.583333,2016-03-01
79258,356,48,276925.983333,2016-03-02
