dailyViewcount,numShare,numSubscriber,watchTime,date
1010,32,-2,2289.01666667,2016-12-07
1913,49,1,5411.41666667,2016-12-08
10986,206,0,30053.1333333,2016-12-09
26214,365,0,67392.55,2016-12-10
28233,519,0,75127.8666667,2016-12-11
53845,837,2,132288.8,2016-12-12
47206,843,4,126660.083333,2016-12-13
57210,907,4,151181.133333,2016-12-14
54017,931,3,146393.133333,2016-12-15
70629,999,4,186778.683333,2016-12-16
93056,1172,3,237379.783333,2016-12-17
83560,1237,8,216617.25,2016-12-18
78870,1058,2,212274.433333,2016-12-19
85426,1151,2,230569.316667,2016-12-20
83411,1121,3,224916.85,2016-12-21
90474,1246,5,243461.133333,2016-12-22
110332,1414,4,289614.116667,2016-12-23
95409,981,2,249553.683333,2016-12-24
87536,988,2,220028.783333,2016-12-25
91074,1128,4,234162.816667,2016-12-26
85995,1148,2,225059.55,2016-12-27
96337,1198,3,252526.333333,2016-12-28
101808,1259,4,268098.883333,2016-12-29
106708,1214,1,281565.85,2016-12-30
107836,983,2,286247.683333,2016-12-31
77847,933,3,202628.216667,2017-01-01
84665,1071,2,225845.883333,2017-01-02
86036,1076,2,232431.266667,2017-01-03
87162,1186,6,236864.45,2017-01-04
