dailyViewcount,numShare,numSubscriber,watchTime,date
262696,5853,338,741379.316667,2016-12-02
266380,5077,350,723486.583333,2016-12-03
205819,4834,203,562401.183333,2016-12-04
254531,6306,223,695568.083333,2016-12-05
258288,4218,246,670274.366667,2016-12-06
270929,3281,238,690867.6,2016-12-07
218318,2547,137,565448.883333,2016-12-08
252272,2456,111,674706.083333,2016-12-09
237678,2193,82,639779.783333,2016-12-10
191049,1827,101,505893.133333,2016-12-11
186574,1934,85,495298.3,2016-12-12
197462,1825,124,525841.066667,2016-12-13
207837,1743,111,572357.65,2016-12-14
219338,1813,117,606423.833333,2016-12-15
275778,2189,143,770292.016667,2016-12-16
283800,2076,146,799540.016667,2016-12-17
228141,1744,132,642669.416667,2016-12-18
224691,1633,127,642319.6,2016-12-19
223787,1590,131,632774.116667,2016-12-20
237561,1623,131,672434.266667,2016-12-21
239168,1629,75,684246.716667,2016-12-22
263714,1816,91,754354.316667,2016-12-23
302770,3290,107,872752.9,2016-12-24
255276,3288,75,731679.216667,2016-12-25
179672,864,67,498732.433333,2016-12-26
180237,720,55,497097.283333,2016-12-27
182426,702,72,504208.05,2016-12-28
175239,649,45,483119.616667,2016-12-29
185677,577,44,521728.8,2016-12-30
214143,540,50,603913.983333,2016-12-31
130307,450,47,347900.433333,2017-01-01
112695,397,34,297110.633333,2017-01-02
108577,374,44,287337.1,2017-01-03
87496,332,33,229932.933333,2017-01-04
