dailyViewcount,numShare,numSubscriber,watchTime,date
27684,234,17,50388.9,2016-10-31
20581,153,8,43606.2833333,2016-11-01
37091,251,21,80705.3,2016-11-02
49778,336,28,115608.316667,2016-11-03
65466,328,29,160363.9,2016-11-04
92639,474,29,229230.016667,2016-11-05
94640,566,28,221200.116667,2016-11-06
100318,555,36,237025.066667,2016-11-07
111459,548,39,252754.016667,2016-11-08
107948,505,30,248657.366667,2016-11-09
119140,512,33,276909.283333,2016-11-10
144491,573,36,331751.5,2016-11-11
144298,566,40,327702.166667,2016-11-12
121586,616,30,281546.7,2016-11-13
130235,585,47,306276.266667,2016-11-14
120974,480,34,289588.383333,2016-11-15
123671,521,30,299952.066667,2016-11-16
129794,482,33,314889.716667,2016-11-17
146961,471,31,350527.65,2016-11-18
155235,491,28,361968.45,2016-11-19
130195,511,43,302963.633333,2016-11-20
129081,416,35,309015.25,2016-11-21
133959,495,27,321098.516667,2016-11-22
163079,437,24,389348.633333,2016-11-23
173781,474,35,408019.966667,2016-11-24
147062,545,31,344344.066667,2016-11-25
146848,498,22,345917.75,2016-11-26
133743,531,29,315174.466667,2016-11-27
134827,547,47,323204.866667,2016-11-28
142601,506,40,339510.166667,2016-11-29
141182,489,28,337244.25,2016-11-30
136901,475,34,330196.133333,2016-12-01
151205,505,32,360697.35,2016-12-02
157452,518,25,373438.75,2016-12-03
126065,537,40,296988.066667,2016-12-04
118923,422,35,286219.366667,2016-12-05
122753,470,41,292309.75,2016-12-06
132722,437,38,311620.616667,2016-12-07
129442,445,32,310732.933333,2016-12-08
145207,467,23,342925.75,2016-12-09
149840,507,26,350424.333333,2016-12-10
124830,469,33,292635.266667,2016-12-11
118974,401,33,283190.133333,2016-12-12
120491,410,32,286476.4,2016-12-13
127909,414,27,305299.083333,2016-12-14
129106,419,35,307262.183333,2016-12-15
147452,417,23,346540.45,2016-12-16
158197,510,31,365920.65,2016-12-17
134260,503,39,314183.466667,2016-12-18
131553,459,30,312117.566667,2016-12-19
130101,421,26,309721.65,2016-12-20
140166,508,34,329172.783333,2016-12-21
142718,467,39,335116.45,2016-12-22
156938,513,25,369149.4,2016-12-23
161207,446,32,376949.033333,2016-12-24
150573,554,39,348534.583333,2016-12-25
136744,507,15,317641.466667,2016-12-26
137107,505,18,322961.25,2016-12-27
146698,504,32,346575.116667,2016-12-28
143843,544,24,341323.5,2016-12-29
150641,494,28,359182.633333,2016-12-30
177842,437,25,422853.683333,2016-12-31
127063,433,19,291651.516667,2017-01-01
122886,493,34,284119.033333,2017-01-02
120789,554,28,280688.566667,2017-01-03
121890,535,31,283165.95,2017-01-04
