dailyViewcount,numShare,numSubscriber,watchTime,date
34,1,0,76.8666666667,2016-12-08
12247,254,6,31001.8166667,2016-12-09
18482,323,5,53950.25,2016-12-10
23974,290,7,64021.9666667,2016-12-11
31566,345,13,85438.8666667,2016-12-12
42603,501,9,113028.883333,2016-12-13
47983,512,8,132810.516667,2016-12-14
50037,516,11,143493.083333,2016-12-15
50923,488,5,144725.016667,2016-12-16
48113,484,4,132553.85,2016-12-17
44735,404,10,127302.433333,2016-12-18
50834,455,9,151242.7,2016-12-19
51040,507,7,153940.8,2016-12-20
50785,408,7,150595.266667,2016-12-21
52805,448,9,156380.816667,2016-12-22
54868,436,9,161656.816667,2016-12-23
49164,323,8,144549.95,2016-12-24
44565,293,9,128545.183333,2016-12-25
45498,317,5,132714.833333,2016-12-26
47813,291,8,141547.2,2016-12-27
49430,293,10,146021.716667,2016-12-28
49728,328,3,147271.633333,2016-12-29
46838,275,5,140835.266667,2016-12-30
43339,200,1,129982.6,2016-12-31
35609,202,5,108004.066667,2017-01-01
38122,215,3,117639.733333,2017-01-02
40124,258,6,124831.3,2017-01-03
