dailyViewcount,numShare,numSubscriber,watchTime,date
145609,850,289,1443167.51667,2015-09-29
117204,396,688,972231.416667,2015-09-30
41027,176,180,351663.166667,2015-10-01
25179,89,46,226589.833333,2015-10-02
34100,90,96,328388.7,2015-10-03
16119,49,35,151688.45,2015-10-04
12908,47,34,122322.583333,2015-10-05
11066,36,26,103097.5,2015-10-06
10247,38,18,95294.6333333,2015-10-07
8829,36,12,81756.9333333,2015-10-08
8446,33,19,78595.9333333,2015-10-09
8806,28,16,81173.1333333,2015-10-10
8685,26,17,82162.7666667,2015-10-11
8631,27,17,86161.85,2015-10-12
7718,26,12,77798.2166667,2015-10-13
6622,29,12,66344.0166667,2015-10-14
6224,20,20,62917.65,2015-10-15
6275,20,14,60486.0833333,2015-10-16
6058,9,11,59260.0833333,2015-10-17
5980,17,10,62923.6333333,2015-10-18
5510,27,11,56410.9666667,2015-10-19
5726,22,10,57248.0333333,2015-10-20
5119,17,12,51299.65,2015-10-21
5207,22,8,50788.3833333,2015-10-22
5199,18,9,47764.5,2015-10-23
5168,25,11,48887.8333333,2015-10-24
5066,16,12,51228.9666667,2015-10-25
4811,26,13,47777.4,2015-10-26
4518,13,13,44614.6,2015-10-27
4618,29,6,44172.5333333,2015-10-28
4598,9,5,43163.2,2015-10-29
4319,13,3,39473.4,2015-10-30
4401,11,8,39895.6833333,2015-10-31
4651,16,9,45212.6,2015-11-01
4538,12,16,45204.1,2015-11-02
4635,14,11,45692.15,2015-11-03
4259,9,8,42053.55,2015-11-04
4292,11,10,42004.4333333,2015-11-05
4301,10,6,38970.7666667,2015-11-06
4590,13,4,42027.2166667,2015-11-07
4289,13,4,42209.1166667,2015-11-08
4090,6,7,39593.7666667,2015-11-09
3937,12,7,36600.4,2015-11-10
4131,15,4,40319.6166667,2015-11-11
3710,8,9,34448.15,2015-11-12
3685,13,5,32556.2666667,2015-11-13
4235,15,8,38748.45,2015-11-14
4034,5,4,36866.9333333,2015-11-15
3576,4,11,33300.2,2015-11-16
3419,7,8,31845.15,2015-11-17
3485,15,11,31605.3666667,2015-11-18
3681,7,11,33257.3666667,2015-11-19
3721,8,5,31865.05,2015-11-20
3984,6,2,34575.8166667,2015-11-21
3703,19,7,35118.25,2015-11-22
3622,15,3,33190.6333333,2015-11-23
3452,12,3,32873.6,2015-11-24
3468,10,3,32627.0,2015-11-25
3594,9,6,31293.8,2015-11-26
3497,12,8,31418.1666667,2015-11-27
3725,4,7,35553.25,2015-11-28
3756,8,4,36776.4833333,2015-11-29
3976,7,8,38871.95,2015-11-30
4067,7,8,38852.6333333,2015-12-01
3414,7,2,33242.4166667,2015-12-02
3226,5,9,30972.2666667,2015-12-03
3232,11,5,29989.7166667,2015-12-04
3930,9,9,35966.05,2015-12-05
3232,10,5,32117.3,2015-12-06
2966,9,5,29954.0666667,2015-12-07
2887,13,6,28094.0,2015-12-08
2782,7,3,27280.4833333,2015-12-09
2827,8,7,27505.6,2015-12-10
2848,6,7,26234.4,2015-12-11
3098,8,4,29631.8666667,2015-12-12
3006,9,6,30204.7666667,2015-12-13
2808,6,5,27854.8166667,2015-12-14
2739,2,2,26829.4666667,2015-12-15
2655,7,3,26826.7166667,2015-12-16
