dailyViewcount,numShare,numSubscriber,watchTime,date
604033,8690,724,1150052.86667,2017-04-27
1548257,11849,2172,2765597.65,2017-04-28
1279985,7848,1160,2262975.0,2017-04-29
938565,5135,754,1664333.66667,2017-04-30
657387,4692,544,1194391.68333,2017-05-01
548873,3375,495,1016090.05,2017-05-02
610363,2900,452,1140905.31667,2017-05-03
684026,2886,375,1301410.5,2017-05-04
551659,2309,274,1060999.61667,2017-05-05
524443,1986,239,1014255.26667,2017-05-06
480363,1906,163,933764.433333,2017-05-07
497539,1981,201,981814.316667,2017-05-08
501418,1951,214,983871.4,2017-05-09
484170,1965,194,952945.283333,2017-05-10
463363,1843,188,915513.033333,2017-05-11
500575,1692,131,989343.483333,2017-05-12
469179,1635,128,937469.333333,2017-05-13
389476,1607,96,774351.183333,2017-05-14
351019,1446,133,706008.5,2017-05-15
363944,1453,122,728326.233333,2017-05-16
375573,1532,157,754414.483333,2017-05-17
409225,1495,142,824121.4,2017-05-18
430903,1326,140,866800.55,2017-05-19
452205,1306,132,912546.633333,2017-05-20
349547,1387,115,717119.45,2017-05-21
352296,1317,106,720207.0,2017-05-22
